t   MSD
101000 0.312316
102000 0.638395
103000 0.973863
104000 1.25822
105000 1.54743
106000 1.92448
107000 2.1712
108000 2.57775
109000 3.05655
110000 3.4836
111000 3.88438
112000 4.27558
113000 4.66503
114000 4.87988
115000 5.12545
116000 5.54801
117000 6.10944
118000 6.5743
119000 6.93361
120000 7.35032
121000 7.7897
122000 8.14955
123000 8.33643
124000 8.73657
125000 9.26446
126000 9.99624
127000 10.5303
128000 10.849
129000 11.2141
130000 11.7965
131000 12.0343
132000 12.3226
133000 12.7261
134000 13.3149
135000 13.7458
136000 14.1109
137000 14.6917
138000 14.7517
139000 15.033
140000 16.0954
141000 17.3183
142000 18.3187
143000 18.6461
144000 18.7807
145000 19.2972
146000 19.6917
147000 20.3221
148000 20.5829
149000 20.7194
150000 20.7506
151000 20.7338
152000 21.3606
153000 21.2937
154000 21.543
155000 21.7967
156000 21.8737
157000 23.3
158000 24.432
159000 25.0811
160000 25.1828
161000 25.311
162000 25.1149
163000 25.3936
164000 25.7909
165000 25.8036
166000 25.9859
167000 26.3123
168000 26.8569
169000 26.9912
170000 26.9267
171000 27.1883
172000 27.5248
173000 27.5727
174000 28.3413
175000 29.4003
176000 30.8299
177000 31.5777
178000 31.5369
179000 31.3924
180000 31.8214
181000 32.6277
182000 32.7743
183000 33.4418
184000 34.4059
185000 35.0314
186000 35.0475
187000 34.9222
188000 34.3023
189000 34.2404
190000 34.9857
191000 35.3909
192000 35.8587
193000 35.8329
194000 35.8242
195000 36.2416
196000 36.1134
197000 36.3714
198000 37.0503
199000 37.3256
200000 37.1759
