x	 y
0.000000000000000000e+00	0.000000000000000000e+00
4.355854351066971650e-03	8.853373086597730445e-05
8.711708702133943300e-03	1.770674617319546089e-04
1.306756305320091495e-02	2.656011925979319269e-04
1.742341740426788660e-02	3.541349234639092178e-04
2.177927175533485998e-02	4.426686543298865629e-04
2.613512610640182990e-02	5.312023851958638538e-04
3.049098045746879981e-02	6.197361160618410905e-04
3.484683480853577320e-02	7.082698469278184356e-04
3.920268915960274658e-02	7.968035777937957807e-04
4.355854351066971997e-02	8.853373086597731258e-04
4.791439786173668641e-02	9.738710395257503625e-04
5.227025221280365980e-02	1.062404770391727708e-03
5.662610656387063318e-02	1.150938501257705053e-03
6.098196091493759963e-02	1.239472232123682181e-03
6.533781526600457301e-02	1.328005962989659526e-03
6.969366961707154640e-02	1.416539693855636871e-03
7.404952396813851978e-02	1.505073424721614216e-03
7.840537831920549317e-02	1.593607155587591561e-03
8.276123267027246655e-02	1.682140886453568907e-03
8.711708702133943993e-02	1.770674617319546252e-03
9.147294137240639944e-02	1.859208348185523380e-03
9.582879572347337283e-02	1.947742079051500725e-03
1.001846500745403462e-01	2.036275809917477853e-03
1.045405044256073196e-01	2.124809540783455415e-03
1.088963587766742930e-01	2.213343271649432543e-03
1.132522131277412664e-01	2.301877002515410105e-03
1.176080674788082397e-01	2.390410733381387234e-03
1.219639218298751993e-01	2.478944464247364362e-03
1.263197761809421726e-01	2.567478195113341924e-03
1.306756305320091460e-01	2.656011925979319052e-03
1.350314848830761194e-01	2.744545656845296614e-03
1.393873392341430928e-01	2.833079387711273742e-03
1.437431935852100662e-01	2.921613118577251304e-03
1.480990479362770396e-01	3.010146849443228433e-03
1.524549022873440129e-01	3.098680580309205995e-03
1.568107566384109863e-01	3.187214311175183123e-03
1.611666109894779597e-01	3.275748042041160685e-03
1.655224653405449331e-01	3.364281772907137813e-03
1.698783196916119065e-01	3.452815503773115375e-03
1.742341740426788799e-01	3.541349234639092503e-03
1.785900283937458255e-01	3.629882965505069198e-03
1.829458827448127989e-01	3.718416696371046760e-03
1.873017370958797723e-01	3.806950427237023888e-03
1.916575914469467457e-01	3.895484158103001450e-03
1.960134457980137190e-01	3.984017888968978578e-03
2.003693001490806924e-01	4.072551619834955706e-03
2.047251545001476658e-01	4.161085350700933702e-03
2.090810088512146392e-01	4.249619081566910830e-03
2.134368632022816126e-01	4.338152812432887959e-03
2.177927175533485860e-01	4.426686543298865087e-03
2.221485719044155593e-01	4.515220274164843083e-03
2.265044262554825327e-01	4.603754005030820211e-03
2.308602806065495061e-01	4.692287735896797339e-03
2.352161349576164795e-01	4.780821466762774467e-03
2.395719893086834529e-01	4.869355197628752463e-03
2.439278436597503985e-01	4.957888928494728724e-03
2.482836980108173719e-01	5.046422659360706720e-03
2.526395523618843453e-01	5.134956390226683848e-03
2.569954067129513464e-01	5.223490121092661843e-03
2.613512610640182920e-01	5.312023851958638104e-03
2.657071154150852932e-01	5.400557582824616100e-03
2.700629697661522388e-01	5.489091313690593228e-03
2.744188241172192400e-01	5.577625044556571224e-03
2.787746784682861856e-01	5.666158775422547485e-03
2.831305328193531312e-01	5.754692506288524613e-03
2.874863871704201324e-01	5.843226237154502609e-03
2.918422415214870780e-01	5.931759968020478870e-03
2.961980958725540791e-01	6.020293698886456865e-03
3.005539502236210248e-01	6.108827429752433993e-03
3.049098045746880259e-01	6.197361160618411989e-03
3.092656589257549715e-01	6.285894891484388250e-03
3.136215132768219727e-01	6.374428622350366246e-03
3.179773676278889183e-01	6.462962353216343374e-03
3.223332219789559194e-01	6.551496084082321369e-03
3.266890763300228651e-01	6.640029814948297630e-03
3.310449306810898662e-01	6.728563545814275626e-03
3.354007850321568118e-01	6.817097276680252754e-03
3.397566393832238130e-01	6.905631007546230750e-03
3.441124937342907586e-01	6.994164738412207011e-03
3.484683480853577597e-01	7.082698469278185006e-03
3.528242024364247054e-01	7.171232200144162135e-03
3.571800567874916510e-01	7.259765931010138396e-03
3.615359111385586521e-01	7.348299661876116391e-03
3.658917654896255978e-01	7.436833392742093519e-03
3.702476198406925989e-01	7.525367123608071515e-03
3.746034741917595445e-01	7.613900854474047776e-03
3.789593285428265457e-01	7.702434585340025772e-03
3.833151828938934913e-01	7.790968316206002900e-03
3.876710372449604924e-01	7.879502047071980028e-03
3.920268915960274381e-01	7.968035777937957156e-03
3.963827459470944392e-01	8.056569508803936019e-03
4.007386002981613848e-01	8.145103239669911413e-03
4.050944546492283860e-01	8.233636970535890276e-03
4.094503090002953316e-01	8.322170701401867404e-03
4.138061633513623327e-01	8.410704432267844533e-03
4.181620177024292784e-01	8.499238163133821661e-03
4.225178720534962240e-01	8.587771893999798789e-03
4.268737264045632251e-01	8.676305624865775917e-03
4.312295807556301708e-01	8.764839355731753046e-03
