x	 y
0.000000000000000000e+00	0.000000000000000000e+00
3.650408144895154854e-03	4.336254751503368563e-08
7.300816289790309707e-03	2.764716251824505844e-07
1.095122443468546369e-02	8.170973938515534005e-07
1.460163257958061941e-02	1.762732217347817514e-06
1.825204072447577514e-02	3.200287623873222126e-06
2.190244886937092739e-02	5.209662654901984756e-06
2.555285701426608311e-02	7.865607327545815034e-06
2.920326515916123883e-02	1.123885631310416674e-05
3.285367330405639108e-02	1.539688485339863480e-05
3.650408144895155027e-02	2.040444510592369311e-05
4.015448959384670252e-02	2.632396429194350750e-05
4.380489773874185477e-02	3.321585062209998518e-05
4.745530588363701396e-02	4.113873484501778067e-05
5.110571402853216622e-02	5.014966521834652300e-05
5.475612217342732541e-02	6.030426778167485608e-05
5.840653031832247766e-02	7.165688014521488151e-05
6.205693846321762991e-02	8.426066464411853334e-05
6.570734660811278216e-02	9.816770513057045306e-05
6.935775475300794135e-02	1.134290905917154454e-04
7.300816289790310054e-02	1.300949880175978084e-04
7.665857104279824585e-02	1.482147063930954400e-04
8.030897918769340504e-02	1.678367532838150554e-04
8.395938733258856423e-02	1.890088851841117230e-04
8.760979547748370955e-02	2.117781525664673577e-04
9.126020362237886874e-02	2.361909403954020660e-04
9.491061176727402793e-02	2.622930047319923358e-04
9.856101991216918712e-02	2.901295059471027085e-04
1.022114280570643324e-01	3.197450389755152208e-04
1.058618362019594916e-01	3.511836609741276734e-04
1.095122443468546508e-01	3.844889166914617750e-04
1.131626524917497961e-01	4.197038618100404350e-04
1.168130606366449553e-01	4.568710844855960605e-04
1.204634687815401145e-01	4.960327252759123362e-04
1.241138769264352598e-01	5.372304956261239953e-04
1.277642850713304190e-01	5.805056950554913922e-04
1.314146932162255643e-01	6.258992271722695674e-04
1.350651013611207374e-01	6.734516146276950258e-04
1.387155095060158827e-01	7.232030131067962008e-04
1.423659176509110280e-01	7.751932244423625660e-04
1.460163257958062011e-01	8.294617089285825917e-04
1.496667339407013464e-01	8.860475969024161078e-04
1.533171420855964917e-01	9.449896996534201893e-04
1.569675502304916648e-01	1.006326519716347527e-03
1.606179583753868101e-01	1.070096260595271905e-03
1.642683665202819554e-01	1.136336835963094264e-03
1.679187746651771285e-01	1.205085878375980512e-03
1.715691828100722738e-01	1.276380747538491530e-03
1.752195909549674191e-01	1.350258538151819562e-03
1.788699990998625922e-01	1.426756087374548947e-03
1.825204072447577375e-01	1.505909981922734899e-03
1.861708153896529105e-01	1.587756564833723910e-03
1.898212235345480559e-01	1.672331941916023468e-03
1.934716316794432012e-01	1.759671987905666105e-03
1.971220398243383742e-01	1.849812352347782185e-03
2.007724479692335195e-01	1.942788465220595100e-03
2.044228561141286649e-01	2.038635542317676023e-03
2.080732642590238379e-01	2.137388590403035103e-03
2.117236724039189832e-01	2.239082412152518589e-03
2.153740805488141286e-01	2.343751610893958504e-03
2.190244886937093016e-01	2.451430595157589112e-03
2.226748968386044469e-01	2.562153583047397862e-03
2.263253049834995922e-01	2.675954606443338175e-03
2.299757131283947653e-01	2.792867515043585564e-03
2.336261212732899106e-01	2.912925980255412668e-03
2.372765294181850559e-01	3.036163498942669875e-03
2.409269375630802290e-01	3.162613397037287912e-03
2.445773457079753743e-01	3.292308833021767318e-03
2.482277538528705196e-01	3.425282801289137452e-03
2.518781619977656927e-01	3.561568135386457886e-03
2.555285701426608380e-01	3.701197511147542949e-03
2.591789782875559833e-01	3.844203449720256724e-03
2.628293864324511286e-01	3.990618320493358878e-03
2.664797945773463295e-01	4.140474343927615444e-03
2.701302027222414748e-01	4.293803594295573373e-03
2.737806108671366201e-01	4.450638002334184745e-03
2.774310190120317654e-01	4.611009357814149952e-03
2.810814271569269107e-01	4.774949312029698641e-03
2.847318353018220560e-01	4.942489380212274422e-03
2.883822434467172569e-01	5.113660943871403686e-03
2.920326515916124022e-01	5.288495253065848486e-03
2.956830597365075475e-01	5.467023428607992522e-03
2.993334678814026928e-01	5.649276464204194131e-03
3.029838760262978381e-01	5.835285228533769984e-03
3.066342841711929834e-01	6.025080467269080566e-03
3.102846923160881842e-01	6.218692805039063680e-03
3.139351004609833296e-01	6.416152747338461568e-03
3.175855086058784749e-01	6.617490682384885754e-03
3.212359167507736202e-01	6.822736882925687675e-03
3.248863248956687655e-01	7.031921507996588376e-03
3.285367330405639108e-01	7.245074604633877473e-03
3.321871411854591116e-01	7.462226109541915224e-03
3.358375493303542569e-01	7.683405850717566626e-03
3.394879574752494023e-01	7.908643549033197301e-03
3.431383656201445476e-01	8.137968819779654514e-03
3.467887737650396929e-01	8.371411174170711317e-03
3.504391819099348382e-01	8.609000020810319079e-03
3.540895900548300390e-01	8.850764667123979870e-03
3.577399981997251843e-01	9.096734320755453865e-03
3.613904063446203296e-01	9.346938090930028212e-03
