x	 y
1.054614648840735969e-01	0.000000000000000000e+00
1.084429451050519660e-01	1.115492534424326887e-04
1.114244253260303491e-01	2.230985068848653774e-04
1.144059055470087183e-01	3.346477603272971987e-04
1.173873857679871013e-01	4.461970137697298874e-04
1.203688659889654705e-01	5.577462672121625761e-04
1.233503462099438397e-01	6.692955206545952648e-04
1.263318264309222227e-01	7.808447740970279535e-04
1.293133066519006058e-01	8.923940275394606422e-04
1.322947868728789889e-01	1.003943280981893331e-03
1.352762670938573442e-01	1.115492534424325152e-03
1.382577473148357272e-01	1.227041787866757841e-03
1.412392275358140825e-01	1.338591041309189662e-03
1.442207077567924656e-01	1.450140294751622351e-03
1.472021879777708486e-01	1.561689548194055040e-03
1.501836681987492317e-01	1.673238801636487728e-03
1.531651484197276147e-01	1.784788055078920417e-03
1.561466286407059700e-01	1.896337308521352238e-03
1.591281088616843531e-01	2.007886561963784927e-03
1.621095890826627361e-01	2.119435815406217616e-03
1.650910693036410914e-01	2.230985068848649437e-03
1.680725495246194745e-01	2.342534322291082993e-03
1.710540297455978576e-01	2.454083575733515682e-03
1.740355099665762406e-01	2.565632829175948371e-03
1.770169901875545959e-01	2.677182082618380192e-03
1.799984704085329790e-01	2.788731336060812881e-03
1.829799506295113343e-01	2.900280589503244702e-03
1.859614308504897173e-01	3.011829842945677391e-03
1.889429110714681004e-01	3.123379096388110079e-03
1.919243912924464834e-01	3.234928349830542768e-03
1.949058715134248665e-01	3.346477603272975457e-03
1.978873517344032495e-01	3.458026856715408145e-03
2.008688319553816048e-01	3.569576110157839967e-03
2.038503121763599601e-01	3.681125363600271788e-03
2.068317923973383432e-01	3.792674617042704477e-03
2.098132726183167263e-01	3.904223870485138033e-03
2.127947528392951093e-01	4.015773123927570722e-03
2.157762330602734924e-01	4.127322377370003410e-03
2.187577132812518754e-01	4.238871630812436099e-03
2.217391935022302307e-01	4.350420884254867053e-03
2.247206737232086138e-01	4.461970137697299742e-03
2.277021539441869691e-01	4.573519391139732430e-03
2.306836341651653521e-01	4.685068644582165119e-03
2.336651143861437352e-01	4.796617898024597808e-03
2.366465946071221182e-01	4.908167151467030496e-03
2.396280748281004735e-01	5.019716404909463185e-03
2.426095550490788566e-01	5.131265658351895874e-03
2.455910352700572397e-01	5.242814911794328563e-03
2.485725154910355950e-01	5.354364165236759517e-03
2.515539957120139780e-01	5.465913418679192205e-03
2.545354759329923611e-01	5.577462672121624894e-03
2.575169561539707441e-01	5.689011925564057583e-03
2.604984363749490717e-01	5.800561179006488537e-03
2.634799165959275102e-01	5.912110432448922960e-03
2.664613968169058378e-01	6.023659685891353914e-03
2.694428770378842763e-01	6.135208939333790072e-03
2.724243572588626039e-01	6.246758192776219291e-03
2.754058374798409869e-01	6.358307446218651980e-03
2.783873177008193700e-01	6.469856699661086404e-03
2.813687979217976975e-01	6.581405953103515623e-03
2.843502781427761361e-01	6.692955206545951781e-03
2.873317583637544637e-01	6.804504459988381000e-03
2.903132385847329022e-01	6.916053713430817158e-03
2.932947188057112298e-01	7.027602966873248112e-03
2.962761990266896128e-01	7.139152220315680801e-03
2.992576792476679959e-01	7.250701473758113490e-03
3.022391594686463234e-01	7.362250727200544444e-03
3.052206396896247620e-01	7.473799980642978867e-03
3.082021199106030895e-01	7.585349234085409821e-03
3.111836001315815281e-01	7.696898487527844245e-03
3.141650803525598556e-01	7.808447740970275198e-03
3.171465605735382387e-01	7.919996994412707020e-03
3.201280407945166218e-01	8.031546247855139709e-03
3.231095210154949493e-01	8.143095501297572397e-03
3.260910012364733879e-01	8.254644754740005086e-03
3.290724814574517154e-01	8.366194008182437775e-03
3.320539616784301540e-01	8.477743261624870463e-03
3.350354418994084815e-01	8.589292515067303152e-03
3.380169221203868646e-01	8.700841768509735841e-03
3.409984023413652476e-01	8.812391021952168529e-03
3.439798825623436307e-01	8.923940275394601218e-03
3.469613627833220137e-01	9.035489528837033907e-03
3.499428430043003413e-01	9.147038782279463126e-03
3.529243232252787799e-01	9.258588035721899284e-03
3.559058034462571074e-01	9.370137289164328503e-03
3.588872836672354905e-01	9.481686542606761192e-03
3.618687638882138735e-01	9.593235796049193881e-03
3.648502441091922566e-01	9.704785049491626570e-03
3.678317243301706396e-01	9.816334302934062728e-03
3.708132045511489672e-01	9.927883556376491947e-03
3.737946847721273502e-01	1.003943280981892464e-02
3.767761649931057333e-01	1.015098206326135732e-02
3.797576452140841163e-01	1.026253131670379001e-02
3.827391254350624994e-01	1.037408057014622270e-02
3.857206056560408824e-01	1.048562982358865539e-02
3.887020858770192655e-01	1.059717907703108808e-02
3.916835660979975930e-01	1.070872833047352077e-02
3.946650463189759761e-01	1.082027758391595346e-02
3.976465265399543592e-01	1.093182683735838615e-02
4.006280067609327422e-01	1.104337609080081883e-02
