x	 y
2.761671310612974148e-02	0.000000000000000000e+00
2.988235869161279951e-02	1.262196948012793418e-04
3.214800427709586100e-02	2.524393896025586836e-04
3.441364986257891556e-02	3.786590844038378086e-04
3.667929544806197706e-02	5.048787792051173673e-04
3.894494103354503162e-02	6.310984740063962754e-04
4.121058661902809311e-02	7.573181688076760509e-04
4.347623220451114767e-02	8.835378636089549591e-04
4.574187778999420917e-02	1.009757558410234735e-03
4.800752337547727067e-02	1.135977253211514076e-03
5.027316896096032522e-02	1.262196948012792985e-03
5.253881454644337978e-02	1.388416642814072326e-03
5.480446013192644128e-02	1.514636337615351668e-03
5.707010571740950278e-02	1.640856032416631444e-03
5.933575130289256427e-02	1.767075727217910786e-03
6.160139688837561189e-02	1.893295422019189260e-03
6.386704247385867339e-02	2.019515116820469035e-03
6.613268805934173489e-02	2.145734811621748377e-03
6.839833364482479638e-02	2.271954506423028153e-03
7.066397923030785788e-02	2.398174201224307495e-03
7.292962481579090550e-02	2.524393896025585969e-03
7.519527040127396700e-02	2.650613590826865311e-03
7.746091598675702850e-02	2.776833285628145520e-03
7.972656157224008999e-02	2.903052980429424862e-03
8.199220715772315149e-02	3.029272675230704204e-03
8.425785274320619911e-02	3.155492370031982678e-03
8.652349832868926061e-02	3.281712064833262020e-03
8.878914391417232210e-02	3.407931759634542229e-03
9.105478949965538360e-02	3.534151454435821571e-03
9.332043508513844510e-02	3.660371149237100913e-03
9.558608067062149272e-02	3.786590844038379387e-03
9.785172625610455421e-02	3.912810538839658729e-03
1.001173718415876157e-01	4.039030233640938938e-03
1.023830174270706772e-01	4.165249928442218280e-03
1.046486630125537387e-01	4.291469623243497622e-03
1.069143085980367863e-01	4.417689318044776096e-03
1.091799541835198478e-01	4.543909012846055438e-03
1.114455997690029093e-01	4.670128707647335647e-03
1.137112453544859708e-01	4.796348402448614989e-03
1.159768909399690184e-01	4.922568097249893464e-03
1.182425365254520799e-01	5.048787792051172806e-03
1.205081821109351414e-01	5.175007486852452147e-03
1.227738276964182029e-01	5.301227181653732357e-03
1.250394732819012644e-01	5.427446876455011698e-03
1.273051188673842982e-01	5.553666571256289305e-03
1.295707644528673597e-01	5.679886266057568647e-03
1.318364100383504212e-01	5.806105960858847989e-03
1.341020556238334827e-01	5.932325655660128198e-03
1.363677012093165442e-01	6.058545350461407540e-03
1.386333467947996057e-01	6.184765045262686882e-03
1.408989923802826671e-01	6.310984740063967091e-03
1.431646379657657286e-01	6.437204434865246433e-03
1.454302835512487901e-01	6.563424129666525775e-03
1.476959291367318239e-01	6.689643824467803382e-03
1.499615747222148854e-01	6.815863519269082724e-03
1.522272203076979469e-01	6.942083214070362066e-03
1.544928658931810084e-01	7.068302908871641407e-03
1.567585114786640699e-01	7.194522603672920749e-03
1.590241570641471314e-01	7.320742298474200091e-03
1.612898026496301929e-01	7.446961993275479433e-03
1.635554482351132266e-01	7.573181688076758775e-03
1.658210938205962881e-01	7.699401382878038116e-03
1.680867394060793496e-01	7.825621077679317458e-03
1.703523849915624111e-01	7.951840772480596800e-03
1.726180305770454726e-01	8.078060467281876142e-03
1.748836761625285341e-01	8.204280162083155484e-03
1.771493217480115956e-01	8.330499856884434826e-03
1.794149673334946571e-01	8.456719551685714167e-03
1.816806129189777186e-01	8.582939246486993509e-03
1.839462585044607523e-01	8.709158941288272851e-03
1.862119040899438138e-01	8.835378636089552193e-03
1.884775496754268753e-01	8.961598330890831535e-03
1.907431952609099368e-01	9.087818025692110877e-03
1.930088408463929983e-01	9.214037720493390218e-03
1.952744864318760598e-01	9.340257415294669560e-03
1.975401320173591213e-01	9.466477110095948902e-03
1.998057776028421828e-01	9.592696804897228244e-03
2.020714231883252443e-01	9.718916499698507586e-03
2.043370687738082780e-01	9.845136194499785193e-03
2.066027143592913395e-01	9.971355889301066269e-03
2.088683599447744010e-01	1.009757558410234561e-02
2.111340055302574625e-01	1.022379527890362495e-02
2.133996511157405240e-01	1.035001497370490429e-02
2.156652967012235855e-01	1.047623466850618364e-02
2.179309422867066470e-01	1.060245436330746298e-02
2.201965878721897085e-01	1.072867405810874232e-02
2.224622334576727700e-01	1.085489375291002166e-02
2.247278790431558038e-01	1.098111344771129927e-02
2.269935246286388653e-01	1.110733314251257861e-02
2.292591702141219268e-01	1.123355283731385969e-02
2.315248157996049883e-01	1.135977253211513903e-02
2.337904613850880498e-01	1.148599222691641837e-02
2.360561069705711112e-01	1.161221192171769771e-02
2.383217525560541727e-01	1.173843161651897705e-02
2.405873981415372342e-01	1.186465131132025640e-02
2.428530437270202957e-01	1.199087100612153574e-02
2.451186893125033572e-01	1.211709070092281508e-02
2.473843348979863910e-01	1.224331039572409269e-02
2.496499804834694525e-01	1.236953009052537203e-02
2.519156260689525140e-01	1.249574978532665311e-02
