x	 y
5.298167445561465655e-02	0.000000000000000000e+00
5.563488324462964596e-02	3.824650688001476721e-05
5.828809203364462843e-02	7.649301376002942601e-05
6.094130082265961090e-02	1.147395206400440848e-04
6.359450961167459337e-02	1.529860275200588520e-04
6.624771840068958972e-02	1.912325344000737276e-04
6.890092718970457220e-02	2.294790412800883864e-04
7.155413597871955467e-02	2.677255481601031536e-04
7.420734476773455102e-02	3.059720550401179209e-04
7.686055355674953349e-02	3.442185619201326881e-04
7.951376234576451596e-02	3.824650688001474553e-04
8.216697113477949843e-02	4.207115756801620057e-04
8.482017992379448090e-02	4.589580825601767729e-04
8.747338871280946337e-02	4.972045894401915401e-04
9.012659750182445972e-02	5.354510963202063073e-04
9.277980629083945607e-02	5.736976032002212914e-04
9.543301507985443854e-02	6.119441100802358417e-04
9.808622386886942102e-02	6.501906169602506089e-04
1.007394326578844035e-01	6.884371238402653762e-04
1.033926414468993860e-01	7.266836307202799265e-04
1.060458502359143684e-01	7.649301376002946937e-04
1.086990590249293509e-01	8.031766444803094609e-04
1.113522678139443473e-01	8.414231513603242282e-04
1.140054766029593436e-01	8.796696582403392122e-04
1.166586853919743261e-01	9.179161651203537626e-04
1.193118941809893085e-01	9.561626720003685298e-04
1.219651029700042910e-01	9.944091788803832970e-04
1.246183117590192735e-01	1.032655685760397847e-03
1.272715205480342560e-01	1.070902192640412615e-03
1.299247293370492384e-01	1.109148699520427382e-03
1.325779381260642487e-01	1.147395206400442366e-03
1.352311469150792311e-01	1.185641713280457133e-03
1.378843557040942136e-01	1.223888220160471900e-03
1.405375644931091961e-01	1.262134727040486451e-03
1.431907732821241785e-01	1.300381233920501001e-03
1.458439820711391610e-01	1.338627740800515985e-03
1.484971908601541435e-01	1.376874247680530535e-03
1.511503996491691260e-01	1.415120754560545086e-03
1.538036084381841362e-01	1.453367261440560504e-03
1.564568172271991187e-01	1.491613768320575054e-03
1.591100260162141011e-01	1.529860275200589604e-03
1.617632348052290836e-01	1.568106782080604155e-03
1.644164435942440661e-01	1.606353288960619139e-03
1.670696523832590485e-01	1.644599795840633689e-03
1.697228611722740310e-01	1.682846302720648239e-03
1.723760699612890135e-01	1.721092809600663224e-03
1.750292787503040237e-01	1.759339316480678208e-03
1.776824875393190062e-01	1.797585823360692758e-03
1.803356963283339887e-01	1.835832330240707742e-03
1.829889051173489711e-01	1.874078837120722292e-03
1.856421139063639536e-01	1.912325344000736843e-03
1.882953226953789361e-01	1.950571850880751827e-03
1.909485314843939185e-01	1.988818357760766160e-03
1.936017402734089288e-01	2.027064864640781144e-03
1.962549490624239112e-01	2.065311371520796128e-03
1.989081578514388937e-01	2.103557878400811113e-03
2.015613666404538762e-01	2.141804385280825229e-03
2.042145754294688587e-01	2.180050892160840213e-03
2.068677842184838411e-01	2.218297399040855197e-03
2.095209930074988236e-01	2.256543905920869314e-03
2.121742017965138338e-01	2.294790412800884298e-03
2.148274105855288163e-01	2.333036919680899282e-03
2.174806193745437988e-01	2.371283426560914266e-03
2.201338281635587812e-01	2.409529933440928383e-03
2.227870369525737637e-01	2.447776440320943367e-03
2.254402457415887462e-01	2.486022947200958351e-03
2.280934545306037287e-01	2.524269454080972468e-03
2.307466633196187111e-01	2.562515960960987452e-03
2.333998721086336936e-01	2.600762467841002436e-03
2.360530808976487038e-01	2.639008974721017420e-03
2.387062896866636863e-01	2.677255481601032404e-03
2.413594984756786688e-01	2.715501988481046521e-03
2.440127072646936512e-01	2.753748495361061505e-03
2.466659160537086337e-01	2.791995002241076489e-03
2.493191248427236162e-01	2.830241509121090605e-03
2.519723336317385987e-01	2.868488016001105589e-03
2.546255424207535811e-01	2.906734522881119706e-03
2.572787512097685636e-01	2.944981029761134690e-03
2.599319599987835461e-01	2.983227536641149674e-03
2.625851687877985285e-01	3.021474043521163791e-03
2.652383775768135110e-01	3.059720550401178775e-03
2.678915863658284935e-01	3.097967057281193759e-03
2.705447951548434760e-01	3.136213564161207876e-03
2.731980039438584584e-01	3.174460071041222860e-03
2.758512127328734409e-01	3.212706577921237844e-03
2.785044215218884789e-01	3.250953084801252828e-03
2.811576303109034614e-01	3.289199591681267812e-03
2.838108390999184438e-01	3.327446098561281929e-03
2.864640478889334263e-01	3.365692605441296913e-03
2.891172566779484088e-01	3.403939112321311897e-03
2.917704654669633912e-01	3.442185619201326013e-03
2.944236742559783737e-01	3.480432126081340997e-03
2.970768830449933562e-01	3.518678632961355982e-03
2.997300918340083387e-01	3.556925139841370098e-03
3.023833006230233211e-01	3.595171646721385082e-03
3.050365094120383036e-01	3.633418153601400066e-03
3.076897182010532861e-01	3.671664660481414183e-03
3.103429269900682685e-01	3.709911167361429167e-03
3.129961357790832510e-01	3.748157674241444151e-03
3.156493445680982335e-01	3.786404181121458268e-03
