x	 y
6.899967798149450604e-02	0.000000000000000000e+00
7.094962232914966971e-02	1.373650312334658702e-04
7.289956667680483338e-02	2.747300624669326077e-04
7.484951102446001092e-02	4.120950937003993453e-04
7.679945537211517459e-02	5.494601249338652155e-04
7.874939971977033826e-02	6.868251561673319530e-04
8.069934406742550193e-02	8.241901874007978232e-04
8.264928841508066559e-02	9.615552186342645608e-04
8.459923276273584314e-02	1.098920249867731298e-03
8.654917711039100681e-02	1.236285281101197168e-03
8.849912145804617047e-02	1.373650312334663906e-03
9.044906580570133414e-02	1.511015343568129776e-03
9.239901015335649781e-02	1.648380374801595646e-03
9.434895450101166148e-02	1.785745406035062384e-03
9.629889884866682515e-02	1.923110437268528254e-03
9.824884319632200269e-02	2.060475468501995859e-03
1.001987875439771664e-01	2.197840499735461729e-03
1.021487318916323300e-01	2.335205530968927599e-03
1.040986762392875076e-01	2.472570562202395204e-03
1.060486205869426712e-01	2.609935593435861075e-03
1.079985649345978349e-01	2.747300624669327812e-03
1.099485092822529986e-01	2.884665655902793682e-03
1.118984536299081622e-01	3.022030687136260420e-03
1.138483979775633259e-01	3.159395718369726290e-03
1.157983423252184896e-01	3.296760749603192160e-03
1.177482866728736532e-01	3.434125780836658030e-03
1.196982310205288308e-01	3.571490812070125635e-03
1.216481753681839945e-01	3.708855843303591505e-03
1.235981197158391581e-01	3.846220874537057376e-03
1.255480640634943357e-01	3.983585905770524981e-03
1.274980084111494993e-01	4.120950937003990851e-03
1.294479527588046630e-01	4.258315968237456721e-03
1.313978971064598267e-01	4.395680999470924326e-03
1.333478414541149903e-01	4.533046030704390196e-03
1.352977858017701540e-01	4.670411061937856066e-03
1.372477301494253177e-01	4.807776093171321936e-03
1.391976744970804813e-01	4.945141124404787807e-03
1.411476188447356450e-01	5.082506155638255411e-03
1.430975631923908087e-01	5.219871186871721282e-03
1.450475075400459724e-01	5.357236218105187152e-03
1.469974518877011638e-01	5.494601249338654757e-03
1.489473962353563274e-01	5.631966280572120627e-03
1.508973405830114911e-01	5.769331311805588232e-03
1.528472849306666548e-01	5.906696343039054102e-03
1.547972292783218184e-01	6.044061374272519972e-03
1.567471736259769821e-01	6.181426405505985842e-03
1.586971179736321735e-01	6.318791436739453447e-03
1.606470623212873372e-01	6.456156467972921052e-03
1.625970066689425009e-01	6.593521499206386922e-03
1.645469510165976645e-01	6.730886530439852793e-03
1.664968953642528282e-01	6.868251561673318663e-03
1.684468397119079919e-01	7.005616592906784533e-03
1.703967840595631555e-01	7.142981624140252138e-03
1.723467284072183192e-01	7.280346655373718008e-03
1.742966727548734829e-01	7.417711686607183878e-03
1.762466171025286465e-01	7.555076717840649748e-03
1.781965614501838102e-01	7.692441749074115619e-03
1.801465057978389739e-01	7.829806780307584091e-03
1.820964501454941376e-01	7.967171811541048226e-03
1.840463944931493012e-01	8.104536842774515831e-03
1.859963388408044649e-01	8.241901874007979967e-03
1.879462831884596286e-01	8.379266905241447572e-03
1.898962275361148200e-01	8.516631936474915177e-03
1.918461718837699836e-01	8.653996967708382781e-03
1.937961162314251473e-01	8.791361998941846917e-03
1.957460605790803110e-01	8.928727030175314522e-03
1.976960049267354746e-01	9.066092061408778657e-03
1.996459492743906383e-01	9.203457092642246262e-03
2.015958936220458020e-01	9.340822123875713867e-03
2.035458379697009657e-01	9.478187155109178003e-03
2.054957823173561571e-01	9.615552186342645608e-03
2.074457266650113207e-01	9.752917217576113212e-03
2.093956710126664844e-01	9.890282248809580817e-03
2.113456153603216481e-01	1.002764728004304495e-02
2.132955597079768117e-01	1.016501231127651256e-02
2.152455040556319754e-01	1.030237734250997669e-02
2.171954484032871391e-01	1.043974237374344430e-02
2.191453927509423028e-01	1.057710740497690843e-02
2.210953370985974664e-01	1.071447243621037604e-02
2.230452814462526301e-01	1.085183746744384017e-02
2.249952257939078215e-01	1.098920249867731125e-02
2.269451701415629852e-01	1.112656752991077538e-02
2.288951144892181488e-01	1.126393256114424299e-02
2.308450588368733125e-01	1.140129759237770712e-02
2.327950031845284762e-01	1.153866262361117473e-02
2.347449475321836398e-01	1.167602765484464233e-02
2.366948918798388035e-01	1.181339268607810647e-02
2.386448362274939672e-01	1.195075771731157407e-02
2.405947805751491309e-01	1.208812274854503821e-02
2.425447249228042945e-01	1.222548777977850581e-02
2.444946692704594582e-01	1.236285281101196995e-02
2.464446136181146496e-01	1.250021784224544102e-02
2.483945579657698133e-01	1.263758287347890516e-02
2.503445023134249769e-01	1.277494790471237276e-02
2.522944466610801406e-01	1.291231293594583690e-02
2.542443910087353043e-01	1.304967796717930451e-02
2.561943353563904680e-01	1.318704299841277211e-02
2.581442797040456316e-01	1.332440802964623625e-02
2.600942240517007953e-01	1.346177306087970385e-02
2.620441683993559590e-01	1.359913809211316799e-02
