x	 y
0.000000000000000000e+00	0.000000000000000000e+00
2.646910791912686616e-03	4.264307938496523704e-06
5.293821583825373232e-03	1.452042346972901271e-05
7.940732375738059415e-03	2.973416868041688056e-05
1.058764316765074646e-02	4.944359103076275005e-05
1.323455395956343351e-02	7.335299242550256124e-05
1.588146475147611883e-02	1.012480165567570541e-04
1.852837554338880588e-02	1.329622526081734521e-04
2.117528633530149293e-02	1.683607023661374397e-04
2.382219712721417998e-02	2.073304273206874973e-04
2.646910791912686703e-02	2.497747648978774831e-04
2.911601871103955408e-02	2.956095146684794466e-04
3.176292950295223766e-02	3.447602980549724664e-04
3.440984029486492818e-02	3.971606590862998315e-04
3.705675108677761176e-02	4.527506552541463798e-04
3.970366187869030228e-02	5.114757849223774792e-04
4.235057267060298586e-02	5.732861531757120228e-04
4.499748346251566944e-02	6.381358111074973173e-04
4.764439425442835996e-02	7.059822241443668763e-04
5.029130504634104354e-02	7.767858382671987078e-04
5.293821583825373406e-02	8.505097217833446251e-04
5.558512663016641764e-02	9.271192662914327096e-04
5.823203742207910816e-02	1.006581934648172541e-03
6.087894821399179174e-02	1.088867046707847749e-03
6.352585900590447532e-02	1.173945595747288113e-03
6.617276979781716584e-02	1.261790090063923814e-03
6.881968058972985636e-02	1.352374415409365047e-03
7.146659138164253300e-02	1.445673714809106837e-03
7.411350217355522352e-02	1.541664282998603383e-03
7.676041296546791404e-02	1.640323473231816319e-03
7.940732375738060456e-02	1.741629614629439105e-03
8.205423454929328120e-02	1.845561938558375669e-03
8.470114534120597172e-02	1.952100512792283695e-03
8.734805613311866224e-02	2.061226182410208236e-03
8.999496692503133888e-02	2.172920516557910221e-03
9.264187771694402940e-02	2.287165760332918879e-03
9.528878850885671992e-02	2.403944791166190160e-03
9.793569930076941044e-02	2.523241079165495192e-03
1.005826100926820871e-01	2.645038650962179289e-03
1.032295208845947776e-01	2.769322056666759235e-03
1.058764316765074681e-01	2.896076339592339958e-03
1.085233424684201448e-01	3.025287008449916749e-03
1.111702532603328353e-01	3.156940011757791362e-03
1.138171640522455258e-01	3.291021714239754457e-03
1.164640748441582163e-01	3.427518875014394766e-03
1.191109856360708930e-01	3.566418627401617657e-03
1.217578964279835835e-01	3.707708460192863081e-03
1.244048072198962740e-01	3.851376200249132051e-03
1.270517180118089506e-01	3.997409996306209787e-03
1.296986288037216550e-01	4.145798303879724353e-03
1.323455395956343317e-01	4.296529871174223358e-03
1.349924503875470083e-01	4.449593725910617158e-03
1.376393611794597127e-01	4.604979162995127308e-03
1.402862719713723894e-01	4.762675732960715627e-03
1.429331827632850660e-01	4.922673231118858232e-03
1.455800935551977704e-01	5.084961687365518491e-03
1.482270043471104470e-01	5.249531356590635481e-03
1.508739151390231237e-01	5.416372709645190728e-03
1.535208259309358281e-01	5.585476424824120135e-03
1.561677367228485047e-01	5.756833379827186459e-03
1.588146475147612091e-01	5.930434644163308684e-03
1.614615583066738858e-01	6.106271471966797162e-03
1.641084690985865624e-01	6.284335295196800432e-03
1.667553798904992668e-01	6.464617717193565580e-03
1.694022906824119434e-01	6.647110506567423770e-03
1.720492014743246201e-01	6.831805591398356324e-03
1.746961122662373245e-01	7.018695053725779176e-03
1.773430230581500011e-01	7.207771124309823689e-03
1.799899338500626778e-01	7.399026177646876763e-03
1.826368446419753822e-01	7.592452727223444192e-03
1.852837554338880588e-01	7.788043420993619875e-03
1.879306662258007632e-01	7.985791037066614431e-03
1.905775770177134398e-01	8.185688479591684066e-03
1.932244878096261165e-01	8.387728774828849196e-03
1.958713986015388209e-01	8.591905067394533038e-03
1.985183093934514975e-01	8.798210616672075268e-03
2.011652201853641742e-01	9.006638793377774038e-03
2.038121309772768786e-01	9.217183076273739381e-03
2.064590417691895552e-01	9.429837049019439491e-03
2.091059525611022318e-01	9.644594397154404239e-03
2.117528633530149362e-01	9.861448905204992649e-03
2.143997741449276129e-01	1.008039445390862369e-02
2.170466849368402895e-01	1.030142501754936421e-02
2.196935957287529939e-01	1.052453466139900359e-02
2.223405065206656706e-01	1.074971753925828451e-02
2.249874173125783750e-01	1.097696789109320337e-02
2.276343281044910516e-01	1.120628004076157543e-02
2.302812388964037282e-01	1.143764839382550337e-02
2.329281496883164326e-01	1.167106743544542823e-02
2.355750604802291093e-01	1.190653172835191322e-02
2.382219712721417859e-01	1.214403591089142920e-02
2.408688820640544903e-01	1.238357469514259936e-02
2.435157928559671670e-01	1.262514286509966964e-02
2.461627036478798436e-01	1.286873527492007549e-02
2.488096144397925480e-01	1.311434684723316278e-02
2.514565252317052524e-01	1.336197257150732384e-02
2.541034360236179013e-01	1.361160750247290482e-02
2.567503468155306057e-01	1.386324675859846797e-02
2.593972576074433101e-01	1.411688552061797844e-02
2.620441683993559590e-01	1.437251903010681835e-02
