x	 y
0.000000000000000000e+00	0.000000000000000000e+00
3.214044408996601446e-03	1.441241806038150023e-04
6.428088817993202891e-03	2.882483612076300046e-04
9.642133226989804337e-03	4.323725418114449798e-04
1.285617763598640578e-02	5.764967224152600092e-04
1.607022204498300549e-02	7.206209030190749302e-04
1.928426645397960867e-02	8.647450836228899596e-04
2.249831086297621185e-02	1.008869264226705097e-03
2.571235527197281157e-02	1.152993444830520018e-03
2.892639968096941128e-02	1.297117625434334939e-03
3.214044408996601099e-02	1.441241806038149860e-03
3.535448849896261764e-02	1.585365986641964998e-03
3.856853290795921735e-02	1.729490167245779919e-03
4.178257731695581706e-02	1.873614347849594840e-03
4.499662172595242371e-02	2.017738528453410195e-03
4.821066613494902342e-02	2.161862709057224899e-03
5.142471054394562313e-02	2.305986889661040037e-03
5.463875495294222284e-02	2.450111070264854741e-03
5.785279936193882255e-02	2.594235250868669879e-03
6.106684377093542920e-02	2.738359431472485016e-03
6.428088817993202198e-02	2.882483612076299721e-03
6.749493258892863556e-02	3.026607792680115292e-03
7.070897699792523527e-02	3.170731973283929996e-03
7.392302140692183499e-02	3.314856153887745134e-03
7.713706581591843470e-02	3.458980334491559838e-03
8.035111022491503441e-02	3.603104515095374976e-03
8.356515463391163412e-02	3.747228695699189680e-03
8.677919904290823383e-02	3.891352876303004818e-03
8.999324345190484742e-02	4.035477056906820389e-03
9.320728786090144713e-02	4.179601237510635094e-03
9.642133226989804684e-02	4.323725418114449798e-03
9.963537667889464655e-02	4.467849598718265369e-03
1.028494210878912463e-01	4.611973779322080073e-03
1.060634654968878460e-01	4.756097959925894778e-03
1.092775099058844457e-01	4.900222140529709482e-03
1.124915543148810454e-01	5.044346321133525053e-03
1.157055987238776451e-01	5.188470501737339757e-03
1.189196431328742587e-01	5.332594682341155329e-03
1.221336875418708584e-01	5.476718862944970033e-03
1.253477319508674581e-01	5.620843043548784737e-03
1.285617763598640440e-01	5.764967224152599441e-03
1.317758207688606575e-01	5.909091404756415013e-03
1.349898651778572711e-01	6.053215585360230584e-03
1.382039095868538570e-01	6.197339765964044421e-03
1.414179539958504705e-01	6.341463946567859992e-03
1.446319984048470564e-01	6.485588127171674697e-03
1.478460428138436700e-01	6.629712307775490268e-03
1.510600872228402558e-01	6.773836488379304105e-03
1.542741316318368694e-01	6.917960668983119676e-03
1.574881760408334830e-01	7.062084849586935248e-03
1.607022204498300688e-01	7.206209030190749952e-03
1.639162648588266824e-01	7.350333210794565524e-03
1.671303092678232682e-01	7.494457391398379360e-03
1.703443536768198818e-01	7.638581572002194932e-03
1.735583980858164677e-01	7.782705752606009636e-03
1.767724424948130812e-01	7.926829933209825207e-03
1.799864869038096948e-01	8.070954113813640779e-03
1.832005313128062807e-01	8.215078294417454616e-03
1.864145757218028943e-01	8.359202475021270187e-03
1.896286201307994801e-01	8.503326655625084024e-03
1.928426645397960937e-01	8.647450836228899596e-03
1.960567089487926795e-01	8.791575016832715167e-03
1.992707533577892931e-01	8.935699197436530739e-03
2.024847977667858789e-01	9.079823378040344575e-03
2.056988421757824925e-01	9.223947558644160147e-03
2.089128865847791061e-01	9.368071739247975718e-03
2.121269309937756919e-01	9.512195919851789555e-03
2.153409754027723055e-01	9.656320100455605127e-03
2.185550198117688914e-01	9.800444281059418963e-03
2.217690642207655050e-01	9.944568461663234535e-03
2.249831086297620908e-01	1.008869264226705011e-02
2.281971530387587044e-01	1.023281682287086394e-02
2.314111974477552902e-01	1.037694100347467951e-02
2.346252418567519038e-01	1.052106518407849509e-02
2.378392862657485174e-01	1.066518936468231066e-02
2.410533306747451032e-01	1.080931354528612449e-02
2.442673750837417168e-01	1.095343772588994007e-02
2.474814194927383026e-01	1.109756190649375390e-02
2.506954639017349162e-01	1.124168608709756947e-02
2.539095083107315021e-01	1.138581026770138331e-02
2.571235527197280879e-01	1.152993444830519888e-02
2.603375971287247292e-01	1.167405862890901445e-02
2.635516415377213151e-01	1.181818280951283003e-02
2.667656859467179009e-01	1.196230699011664386e-02
2.699797303557145423e-01	1.210643117072046117e-02
2.731937747647111281e-01	1.225055535132427501e-02
2.764078191737077139e-01	1.239467953192808884e-02
2.796218635827042998e-01	1.253880371253190268e-02
2.828359079917009411e-01	1.268292789313571998e-02
2.860499524006975269e-01	1.282705207373953382e-02
2.892639968096941128e-01	1.297117625434334939e-02
2.924780412186907541e-01	1.311530043494716496e-02
2.956920856276873399e-01	1.325942461555098054e-02
2.989061300366839258e-01	1.340354879615479437e-02
3.021201744456805116e-01	1.354767297675860821e-02
3.053342188546771530e-01	1.369179715736242552e-02
3.085482632636737388e-01	1.383592133796623935e-02
3.117623076726703246e-01	1.398004551857005319e-02
3.149763520816669660e-01	1.412416969917387050e-02
3.181903964906635518e-01	1.426829387977768433e-02
