x	 y
5.733359890105290194e-03	0.000000000000000000e+00
9.064418303206828870e-03	4.323210362809210537e-05
1.239547671630836581e-02	8.646420725618418363e-05
1.572653512940990622e-02	1.296963108842763297e-04
1.905759354251144316e-02	1.729284145123684215e-04
2.238865195561298010e-02	2.161605181404605133e-04
2.571971036871451705e-02	2.593926217685525509e-04
2.905076878181605399e-02	3.026247253966446427e-04
3.238182719491759093e-02	3.458568290247367345e-04
3.571288560801912787e-02	3.890889326528288263e-04
3.904394402112066481e-02	4.323210362809209182e-04
4.237500243422220175e-02	4.755531399090129558e-04
4.570606084732374563e-02	5.187852435371052102e-04
4.903711926042528257e-02	5.620173471651972478e-04
5.236817767352681952e-02	6.052494507932892854e-04
5.569923608662835646e-02	6.484815544213814315e-04
5.903029449972989340e-02	6.917136580494734691e-04
6.236135291283143034e-02	7.349457616775656151e-04
6.569241132593296728e-02	7.781778653056576527e-04
6.902346973903450422e-02	8.214099689337496903e-04
7.235452815213604116e-02	8.646420725618418363e-04
7.568558656523757810e-02	9.078741761899339823e-04
7.901664497833911505e-02	9.511062798180260200e-04
8.234770339144065199e-02	9.943383834461181660e-04
8.567876180454220281e-02	1.037570487074210204e-03
8.900982021764373975e-02	1.080802590702302241e-03
9.234087863074527669e-02	1.124034694330394712e-03
9.567193704384681363e-02	1.167266797958486750e-03
9.900299545694835057e-02	1.210498901586578788e-03
1.023340538700498875e-01	1.253731005214670825e-03
1.056651122831514245e-01	1.296963108842762863e-03
1.089961706962529614e-01	1.340195212470854901e-03
1.123272291093544983e-01	1.383427316098946938e-03
1.156582875224560353e-01	1.426659419727038976e-03
1.189893459355575722e-01	1.469891523355131013e-03
1.223204043486591092e-01	1.513123626983223051e-03
1.256514627617606461e-01	1.556355730611315522e-03
1.289825211748621969e-01	1.599587834239407560e-03
1.323135795879637200e-01	1.642819937867499597e-03
1.356446380010652708e-01	1.686052041495591635e-03
1.389756964141667939e-01	1.729284145123683673e-03
1.423067548272683447e-01	1.772516248751776144e-03
1.456378132403698678e-01	1.815748352379867748e-03
1.489688716534714186e-01	1.858980456007960219e-03
1.522999300665729416e-01	1.902212559636052257e-03
1.556309884796744925e-01	1.945444663264144294e-03
1.589620468927760155e-01	1.988676766892236332e-03
1.622931053058775663e-01	2.031908870520328370e-03
1.656241637189791172e-01	2.075140974148420841e-03
1.689552221320806402e-01	2.118373077776512878e-03
1.722862805451821910e-01	2.161605181404604916e-03
1.756173389582837141e-01	2.204837285032696954e-03
1.789483973713852649e-01	2.248069388660788991e-03
1.822794557844867880e-01	2.291301492288881029e-03
1.856105141975883388e-01	2.334533595916973500e-03
1.889415726106898619e-01	2.377765699545065104e-03
1.922726310237914127e-01	2.420997803173157575e-03
1.956036894368929357e-01	2.464229906801249179e-03
1.989347478499944866e-01	2.507462010429341651e-03
2.022658062630960096e-01	2.550694114057433688e-03
2.055968646761975605e-01	2.593926217685525726e-03
2.089279230892990835e-01	2.637158321313617763e-03
2.122589815024006343e-01	2.680390424941709801e-03
2.155900399155021574e-01	2.723622528569801839e-03
2.189210983286037082e-01	2.766854632197894310e-03
2.222521567417052590e-01	2.810086735825986348e-03
2.255832151548067821e-01	2.853318839454078385e-03
2.289142735679083329e-01	2.896550943082170423e-03
2.322453319810098560e-01	2.939783046710262460e-03
2.355763903941114068e-01	2.983015150338354932e-03
2.389074488072129299e-01	3.026247253966446536e-03
2.422385072203144807e-01	3.069479357594539007e-03
2.455695656334160037e-01	3.112711461222630611e-03
2.489006240465175546e-01	3.155943564850723082e-03
2.522316824596190776e-01	3.199175668478815120e-03
2.555627408727206284e-01	3.242407772106907157e-03
2.588937992858221793e-01	3.285639875734999629e-03
2.622248576989237301e-01	3.328871979363091666e-03
2.655559161120252809e-01	3.372104082991184137e-03
2.688869745251267762e-01	3.415336186619275741e-03
2.722180329382283270e-01	3.458568290247367779e-03
2.755490913513298779e-01	3.501800393875460250e-03
2.788801497644314287e-01	3.545032497503552288e-03
2.822112081775329795e-01	3.588264601131644759e-03
2.855422665906344748e-01	3.631496704759736363e-03
2.888733250037360256e-01	3.674728808387828401e-03
2.922043834168375764e-01	3.717960912015920872e-03
2.955354418299391273e-01	3.761193015644012910e-03
2.988665002430406226e-01	3.804425119272104514e-03
3.021975586561421734e-01	3.847657222900196985e-03
3.055286170692437242e-01	3.890889326528289022e-03
3.088596754823452750e-01	3.934121430156380626e-03
3.121907338954467703e-01	3.977353533784472664e-03
3.155217923085483211e-01	4.020585637412564702e-03
3.188528507216498720e-01	4.063817741040656739e-03
3.221839091347514228e-01	4.107049844668748777e-03
3.255149675478529736e-01	4.150281948296841682e-03
3.288460259609544689e-01	4.193514051924932852e-03
3.321770843740560197e-01	4.236746155553024890e-03
3.355081427871575706e-01	4.279978259181117795e-03
