x	 y
4.776900637482271728e-02	0.000000000000000000e+00
4.980961656427745216e-02	4.843289338020266045e-05
5.185022675373218010e-02	9.686578676040510406e-05
5.389083694318691498e-02	1.452986801406077645e-04
5.593144713264164292e-02	1.937315735208104250e-04
5.797205732209637780e-02	2.421644669010130854e-04
6.001266751155111268e-02	2.905973602812157459e-04
6.205327770100584062e-02	3.390302536614181895e-04
6.409388789046056856e-02	3.874631470416206331e-04
6.613449807991531038e-02	4.358960404218235104e-04
6.817510826937003832e-02	4.843289338020259540e-04
7.021571845882476626e-02	5.327618271822286145e-04
7.225632864827949420e-02	5.811947205624310581e-04
7.429693883773423602e-02	6.296276139426339354e-04
7.633754902718896396e-02	6.780605073228363790e-04
7.837815921664369190e-02	7.264934007030388226e-04
8.041876940609843372e-02	7.749262940832416999e-04
8.245937959555316166e-02	8.233591874634441435e-04
8.449998978500788960e-02	8.717920808436465871e-04
8.654059997446261754e-02	9.202249742238490307e-04
8.858121016391734548e-02	9.686578676040514743e-04
9.062182035337208730e-02	1.017090760984254352e-03
9.266243054282681524e-02	1.065523654364456795e-03
9.470304073228155706e-02	1.113956547744659673e-03
9.674365092173628500e-02	1.162389441124862550e-03
9.878426111119101294e-02	1.210822334505064993e-03
1.008248713006457409e-01	1.259255227885267437e-03
1.028654814901004688e-01	1.307688121265469881e-03
1.049060916795552106e-01	1.356121014645672758e-03
1.069467018690099386e-01	1.404553908025875202e-03
1.089873120584646804e-01	1.452986801406078079e-03
1.110279222479194083e-01	1.501419694786280522e-03
1.130685324373741363e-01	1.549852588166482966e-03
1.151091426268288642e-01	1.598285481546685410e-03
1.171497528162836060e-01	1.646718374926888287e-03
1.191903630057383340e-01	1.695151268307090731e-03
1.212309731951930619e-01	1.743584161687293174e-03
1.232715833846477899e-01	1.792017055067495618e-03
1.253121935741025317e-01	1.840449948447698495e-03
1.273528037635572596e-01	1.888882841827900939e-03
1.293934139530119876e-01	1.937315735208103816e-03
1.314340241424667433e-01	1.985748628588306693e-03
1.334746343319214712e-01	2.034181521968509137e-03
1.355152445213761991e-01	2.082614415348712014e-03
1.375558547108309271e-01	2.131047308728914458e-03
1.395964649002856550e-01	2.179480202109116901e-03
1.416370750897403830e-01	2.227913095489319345e-03
1.436776852791951109e-01	2.276345988869521789e-03
1.457182954686498388e-01	2.324778882249724232e-03
1.477589056581045668e-01	2.373211775629926676e-03
1.497995158475592947e-01	2.421644669010129119e-03
1.518401260370140227e-01	2.470077562390331997e-03
1.538807362264687784e-01	2.518510455770534874e-03
1.559213464159235063e-01	2.566943349150737318e-03
1.579619566053782342e-01	2.615376242530939761e-03
1.600025667948329622e-01	2.663809135911142639e-03
1.620431769842877179e-01	2.712242029291345516e-03
1.640837871737424458e-01	2.760674922671547959e-03
1.661243973631971738e-01	2.809107816051750837e-03
1.681650075526519017e-01	2.857540709431953280e-03
1.702056177421066296e-01	2.905973602812155724e-03
1.722462279315613576e-01	2.954406496192358168e-03
1.742868381210160855e-01	3.002839389572560611e-03
1.763274483104708135e-01	3.051272282952763055e-03
1.783680584999255414e-01	3.099705176332965498e-03
1.804086686893802693e-01	3.148138069713167942e-03
1.824492788788349973e-01	3.196570963093370386e-03
1.844898890682897252e-01	3.245003856473572829e-03
1.865304992577445087e-01	3.293436749853777008e-03
1.885711094471992366e-01	3.341869643233979451e-03
1.906117196366539646e-01	3.390302536614181895e-03
1.926523298261086925e-01	3.438735429994384338e-03
1.946929400155634204e-01	3.487168323374586782e-03
1.967335502050181484e-01	3.535601216754789226e-03
1.987741603944728763e-01	3.584034110134991669e-03
2.008147705839276043e-01	3.632467003515194113e-03
2.028553807733823322e-01	3.680899896895396557e-03
2.048959909628370601e-01	3.729332790275599000e-03
2.069366011522917881e-01	3.777765683655802311e-03
2.089772113417465160e-01	3.826198577036004755e-03
2.110178215312012440e-01	3.874631470416207198e-03
2.130584317206559719e-01	3.923064363796410076e-03
2.150990419101107554e-01	3.971497257176612519e-03
2.171396520995654833e-01	4.019930150556814963e-03
2.191802622890202112e-01	4.068363043937017406e-03
2.212208724784749392e-01	4.116795937317221585e-03
2.232614826679296671e-01	4.165228830697424028e-03
2.253020928573843951e-01	4.213661724077626472e-03
2.273427030468391230e-01	4.262094617457828916e-03
2.293833132362938509e-01	4.310527510838031359e-03
2.314239234257485789e-01	4.358960404218233803e-03
2.334645336152033068e-01	4.407393297598436246e-03
2.355051438046580348e-01	4.455826190978638690e-03
2.375457539941127627e-01	4.504259084358841134e-03
2.395863641835674906e-01	4.552691977739043577e-03
2.416269743730222186e-01	4.601124871119246021e-03
2.436675845624770020e-01	4.649557764499450199e-03
2.457081947519317300e-01	4.697990657879652643e-03
2.477488049413864579e-01	4.746423551259855086e-03
2.497894151308411859e-01	4.794856444640057530e-03
