x	 y
0.000000000000000000e+00	7.050489331887057828e-04
8.440947827210382517e-04	7.237285205556762352e-04
1.688189565442076503e-03	7.429030054648952993e-04
2.532284348163114755e-03	7.625854997465400260e-04
3.376379130884153007e-03	7.827894626160045210e-04
4.220473913605191259e-03	8.035287098775358450e-04
5.064568696326229510e-03	8.248174233717082840e-04
5.908663479047267762e-03	8.466701606732021700e-04
6.752758261768306014e-03	8.691018650455125966e-04
7.596853044489344266e-03	8.921278756594019140e-04
8.440947827210382517e-03	9.157639380820780479e-04
9.285042609931421637e-03	9.400262150442736768e-04
1.012913739265245902e-02	9.649312974925897341e-04
1.097323217537349641e-02	9.904962159346586067e-04
1.181732695809453552e-02	1.016738452084887424e-03
1.266142174081557464e-02	1.043675950818744253e-03
1.350551652353661203e-02	1.071327132443760126e-03
1.434961130625764941e-02	1.099710905295640806e-03
1.519370608897868853e-02	1.128846678668099556e-03
1.603780087169972765e-02	1.158754376085253555e-03
1.688189565442076503e-02	1.189454448925659396e-03
1.772599043714180242e-02	1.220967890407304197e-03
1.857008521986284327e-02	1.253316249943115879e-03
1.941418000258388066e-02	1.286521647876807863e-03
2.025827478530491804e-02	1.320606790609137179e-03
2.110236956802595543e-02	1.355594986124915779e-03
2.194646435074699281e-02	1.391510159931398302e-03
2.279055913346803366e-02	1.428376871418937741e-03
2.363465391618907105e-02	1.466220330655104709e-03
2.447874869891010843e-02	1.505066415623748525e-03
2.532284348163114929e-02	1.544941689920790832e-03
2.616693826435218667e-02	1.585873420918852304e-03
2.701103304707322406e-02	1.627889598413132834e-03
2.785512782979426144e-02	1.671018953761297613e-03
2.869922261251529882e-02	1.715290979530455185e-03
2.954331739523633968e-02	1.760735949664662264e-03
3.038741217795737706e-02	1.807384940186747887e-03
3.123150696067841445e-02	1.855269850448612893e-03
3.207560174339945530e-02	1.904423424944534562e-03
3.291969652612049269e-02	1.954879275702392418e-03
3.376379130884153007e-02	2.006671905268131960e-03
3.460788609156256745e-02	2.059836730299175085e-03
3.545198087428360484e-02	2.114410105782914707e-03
3.629607565700464222e-02	2.170429349896862981e-03
3.714017043972568655e-02	2.227932769527432404e-03
3.798426522244672393e-02	2.286959686464820618e-03
3.882836000516776132e-02	2.347550464291903432e-03
3.967245478788879870e-02	2.409746535985519793e-03
4.051654957060983608e-02	2.473590432249025972e-03
4.136064435333087347e-02	2.539125810595497124e-03
4.220473913605191085e-02	2.606397485201453982e-03
4.304883391877294824e-02	2.675451457551542792e-03
4.389292870149398562e-02	2.746334947895107473e-03
4.473702348421502994e-02	2.819096427536181473e-03
4.558111826693606733e-02	2.893785651978964587e-03
4.642521304965710471e-02	2.970453694951463632e-03
4.726930783237814210e-02	3.049152983330550518e-03
4.811340261509917948e-02	3.129937332992330495e-03
4.895749739782021687e-02	3.212861985612326578e-03
4.980159218054125425e-02	3.297983646440654035e-03
5.064568696326229857e-02	3.385360523078008443e-03
5.148978174598333596e-02	3.475052365278985186e-03
5.233387652870437334e-02	3.567120505809951228e-03
5.317797131142541073e-02	3.661627902389408187e-03
5.402206609414644811e-02	3.758639180739520823e-03
5.486616087686748550e-02	3.858220678778253102e-03
5.571025565958852288e-02	3.960440491982340251e-03
5.655435044230956027e-02	4.065368519952095895e-03
5.739844522503059765e-02	4.173076514209922427e-03
5.824254000775164197e-02	4.283638127265186439e-03
5.908663479047267936e-02	4.397128962979023059e-03
5.993072957319371674e-02	4.513626628263509542e-03
6.077482435591475413e-02	4.633210786150556565e-03
6.161891913863579151e-02	4.755963210266805040e-03
6.246301392135682889e-02	4.881967840751789446e-03
6.330710870407786628e-02	5.011310841657593169e-03
6.415120348679891060e-02	5.144080659869252649e-03
6.499529826951994105e-02	5.280368085586201014e-03
6.583939305224098537e-02	5.420266314406116566e-03
6.668348783496201582e-02	5.563871011053596154e-03
6.752758261768306014e-02	5.711280374797309510e-03
6.837167740040410446e-02	5.862595206600248153e-03
6.921577218312513491e-02	6.017918978049115360e-03
7.005986696584617923e-02	6.177357902109908115e-03
7.090396174856720968e-02	6.341021005758091557e-03
7.174805653128825400e-02	6.509020204533068343e-03
7.259215131400928445e-02	6.681470379067841470e-03
7.343624609673032877e-02	6.858489453646343312e-03
7.428034087945137309e-02	7.040198476841959263e-03
7.512443566217240354e-02	7.226721704292589712e-03
7.596853044489344786e-02	7.418186683668685256e-03
7.681262522761447831e-02	7.614724341892469862e-03
7.765672001033552263e-02	7.816469074667925857e-03
7.850081479305655308e-02	8.023558838382811170e-03
7.934490957577759740e-02	8.236135244445514508e-03
8.018900435849862784e-02	8.454343656121285355e-03
8.103309914121967217e-02	8.678333287934034135e-03
8.187719392394071649e-02	8.908257307701701946e-03
8.272128870666174694e-02	9.144272941274931427e-03
8.356538348938279126e-02	9.386541580050750469e-03
