x	 y
0.000000000000000000e+00	1.008306803028636038e-03
8.440947827210382517e-04	1.008400479544940874e-03
1.688189565442076503e-03	1.008829701962041595e-03
2.532284348163114755e-03	1.009736553213142624e-03
3.376379130884153007e-03	1.011225606004471358e-03
4.220473913605191259e-03	1.013383912228266962e-03
5.064568696326229510e-03	1.016287616961569990e-03
5.908663479047267762e-03	1.020005216315014555e-03
6.752758261768306014e-03	1.024599455905667120e-03
7.596853044489344266e-03	1.030128553780375452e-03
8.440947827210382517e-03	1.036647043357702544e-03
9.285042609931421637e-03	1.044206383729735484e-03
1.012913739265245902e-02	1.052855418389785601e-03
1.097323217537349641e-02	1.062640730367110653e-03
1.181732695809453552e-02	1.073606923819580032e-03
1.266142174081557464e-02	1.085796851775822818e-03
1.350551652353661203e-02	1.099251803417179880e-03
1.434961130625764941e-02	1.114011660291185915e-03
1.519370608897868853e-02	1.130115028219112272e-03
1.603780087169972765e-02	1.147599349878221462e-03
1.688189565442076503e-02	1.166501001799785274e-03
1.772599043714180242e-02	1.186855378641724209e-03
1.857008521986284327e-02	1.208696966954168851e-03
1.941418000258388066e-02	1.232059410182795908e-03
2.025827478530491804e-02	1.256975566299257940e-03
2.110236956802595543e-02	1.283477559177187075e-03
2.194646435074699281e-02	1.311596824623274772e-03
2.279055913346803366e-02	1.341364151809742566e-03
2.363465391618907105e-02	1.372809720725767053e-03
2.447874869891010843e-02	1.405963136162780578e-03
2.532284348163114929e-02	1.440853458666057360e-03
2.616693826435218667e-02	1.477509232818059650e-03
2.701103304707322406e-02	1.515958513164343026e-03
2.785512782979426144e-02	1.556228888047797186e-03
2.869922261251529882e-02	1.598347501579711321e-03
2.954331739523633968e-02	1.642341073945054577e-03
3.038741217795737706e-02	1.688235920213288985e-03
3.123150696067841445e-02	1.736057967804040519e-03
3.207560174339945530e-02	1.785832772738320164e-03
3.291969652612049269e-02	1.837585534790116357e-03
3.376379130884153007e-02	1.891341111639602453e-03
3.460788609156256745e-02	1.947124032117529937e-03
3.545198087428360484e-02	2.004958508620322336e-03
3.629607565700464222e-02	2.064868448766656733e-03
3.714017043972568655e-02	2.126877466358753806e-03
3.798426522244672393e-02	2.191008891704972813e-03
3.882836000516776132e-02	2.257285781354538296e-03
3.967245478788879870e-02	2.325730927290137282e-03
4.051654957060983608e-02	2.396366865619655416e-03
4.136064435333087347e-02	2.469215884804370261e-03
4.220473913605191085e-02	2.544300033457432345e-03
4.304883391877294824e-02	2.621641127743337251e-03
4.389292870149398562e-02	2.701260758406358146e-03
4.473702348421502994e-02	2.783180297453413145e-03
4.558111826693606733e-02	2.867420904514654881e-03
4.642521304965710471e-02	2.954003532903092498e-03
4.726930783237814210e-02	3.042948935392764294e-03
4.811340261509917948e-02	3.134277669733403701e-03
4.895749739782021687e-02	3.228010103918083247e-03
4.980159218054125425e-02	3.324166421219023997e-03
5.064568696326229857e-02	3.422766625005590514e-03
5.148978174598333596e-02	3.523830543357388094e-03
5.233387652870437334e-02	3.627377833484470883e-03
5.317797131142541073e-02	3.733427985965700677e-03
5.402206609414644811e-02	3.842000328815580595e-03
5.486616087686748550e-02	3.953114031389074259e-03
5.571025565958852288e-02	4.066788108133318272e-03
5.655435044230956027e-02	4.183041422194455801e-03
5.739844522503059765e-02	4.301892688887319453e-03
5.824254000775164197e-02	4.423360479035109635e-03
5.908663479047267936e-02	4.547463222185802595e-03
5.993072957319371674e-02	4.674219209711538356e-03
6.077482435591475413e-02	4.803646597796843234e-03
6.161891913863579151e-02	4.935763410321206829e-03
6.246301392135682889e-02	5.070587541641122242e-03
6.330710870407786628e-02	5.208136759276453705e-03
6.415120348679891060e-02	5.348428706505654016e-03
6.499529826951994105e-02	5.491480904874073213e-03
6.583939305224098537e-02	5.637310756619428979e-03
6.668348783496201582e-02	5.785935547018132910e-03
6.752758261768306014e-02	5.937372446656109456e-03
6.837167740040410446e-02	6.091638513627398339e-03
6.921577218312513491e-02	6.248750695663750528e-03
7.005986696584617923e-02	6.408725832198203243e-03
7.090396174856720968e-02	6.571580656365407815e-03
7.174805653128825400e-02	6.737331796941473799e-03
7.259215131400928445e-02	6.905995780225758843e-03
7.343624609673032877e-02	7.077589031867093615e-03
7.428034087945137309e-02	7.252127878636621498e-03
7.512443566217240354e-02	7.429628550149474341e-03
7.596853044489344786e-02	7.610107180537305227e-03
7.681262522761447831e-02	7.793579810073576059e-03
7.765672001033552263e-02	7.980062386753519407e-03
7.850081479305655308e-02	8.169570767830440852e-03
7.934490957577759740e-02	8.362120721310102589e-03
8.018900435849862784e-02	8.557727927404694054e-03
8.103309914121967217e-02	8.756407979947984643e-03
8.187719392394071649e-02	8.958176387772999461e-03
8.272128870666174694e-02	9.163048576053673538e-03
8.356538348938279126e-02	9.371039887611736993e-03
