D	q
2.168404344971008868e-19	9.100332521354315141e-02
1.197505766813589806e-05	9.168813451897146749e-02
2.395011533627136244e-05	9.237294382439976970e-02
3.592517300440704366e-05	9.305775312982808578e-02
4.790023067254272487e-05	9.374256243525640186e-02
5.987528834067818925e-05	9.442737174068470407e-02
7.185034600881387047e-05	9.511218104611302016e-02
8.382540367694955169e-05	9.579699035154133624e-02
9.580046134508523291e-05	9.648179965696965232e-02
1.077755190132206973e-04	9.716660896239795453e-02
1.197505766813563785e-04	9.785141826782627061e-02
1.317256343494920597e-04	9.853622757325458670e-02
1.437006920176275241e-04	9.922103687868288890e-02
1.556757496857632053e-04	9.990584618411120499e-02
1.676508073538988865e-04	1.005906554895395211e-01
1.796258650220343509e-04	1.012754647949678233e-01
1.916009226901700321e-04	1.019602741003961394e-01
2.035759803583057134e-04	1.026450834058244554e-01
2.155510380264411777e-04	1.033298927112527577e-01
2.275260956945768590e-04	1.040147020166810737e-01
2.395011533627125402e-04	1.046995113221093898e-01
2.514762110308482214e-04	1.053843206275377059e-01
2.634512686989836858e-04	1.060691299329660081e-01
2.754263263671193670e-04	1.067539392383943242e-01
2.874013840352550482e-04	1.074387485438226403e-01
2.993764417033907294e-04	1.081235578492509564e-01
3.113514993715261938e-04	1.088083671546792586e-01
3.233265570396618750e-04	1.094931764601075747e-01
3.353016147077975562e-04	1.101779857655358907e-01
3.472766723759330206e-04	1.108627950709641929e-01
3.592517300440687018e-04	1.115476043763925090e-01
3.712267877122045999e-04	1.122324136818208251e-01
3.832018453803400643e-04	1.129172229872491273e-01
3.951769030484755287e-04	1.136020322926774434e-01
4.071519607166114267e-04	1.142868415981057595e-01
4.191270183847468911e-04	1.149716509035340617e-01
4.311020760528823555e-04	1.156564602089623778e-01
4.430771337210182535e-04	1.163412695143906939e-01
4.550521913891537179e-04	1.170260788198189961e-01
4.670272490572891823e-04	1.177108881252473122e-01
4.790023067254250803e-04	1.183956974306756282e-01
4.909773643935605447e-04	1.190805067361039304e-01
5.029524220616960091e-04	1.197653160415322465e-01
5.149274797298319072e-04	1.204501253469605626e-01
5.269025373979673715e-04	1.211349346523888648e-01
5.388775950661028359e-04	1.218197439578171809e-01
5.508526527342387340e-04	1.225045532632454970e-01
5.628277104023741984e-04	1.231893625686737992e-01
5.748027680705100964e-04	1.238741718741021292e-01
5.867778257386455608e-04	1.245589811795304314e-01
5.987528834067814588e-04	1.252437904849587613e-01
6.107279410749169232e-04	1.259285997903870635e-01
6.227029987430523876e-04	1.266134090958153657e-01
6.346780564111878520e-04	1.272982184012436679e-01
6.466531140793237500e-04	1.279830277066719979e-01
6.586281717474592144e-04	1.286678370121003001e-01
6.706032294155951125e-04	1.293526463175286301e-01
6.825782870837305769e-04	1.300374556229569323e-01
6.945533447518660412e-04	1.307222649283852345e-01
7.065284024200015056e-04	1.314070742338135367e-01
7.185034600881374037e-04	1.320918835392418667e-01
7.304785177562728681e-04	1.327766928446701689e-01
7.424535754244087661e-04	1.334615021500984988e-01
7.544286330925442305e-04	1.341463114555268010e-01
7.664036907606796949e-04	1.348311207609551032e-01
7.783787484288151592e-04	1.355159300663834054e-01
7.903538060969510573e-04	1.362007393718117354e-01
8.023288637650865217e-04	1.368855486772400376e-01
8.143039214332224197e-04	1.375703579826683676e-01
8.262789791013578841e-04	1.382551672880966698e-01
8.382540367694933485e-04	1.389399765935249720e-01
8.502290944376292466e-04	1.396247858989533019e-01
8.622041521057647109e-04	1.403095952043816041e-01
8.741792097739006090e-04	1.409944045098099341e-01
8.861542674420360734e-04	1.416792138152382363e-01
8.981293251101715377e-04	1.423640231206665385e-01
9.101043827783070021e-04	1.430488324260948407e-01
9.220794404464429002e-04	1.437336417315231707e-01
9.340544981145783646e-04	1.444184510369514729e-01
9.460295557827142626e-04	1.451032603423798029e-01
9.580046134508497270e-04	1.457880696478081051e-01
9.699796711189851914e-04	1.464728789532364073e-01
9.819547287871206558e-04	1.471576882586647095e-01
9.939297864552565538e-04	1.478424975640930394e-01
1.005904844123392018e-03	1.485273068695213416e-01
1.017879901791527916e-03	1.492121161749496716e-01
1.029854959459663381e-03	1.498969254803779738e-01
1.041830017127798845e-03	1.505817347858062760e-01
1.053805074795934309e-03	1.512665440912345782e-01
1.065780132464070207e-03	1.519513533966629082e-01
1.077755190132205672e-03	1.526361627020912104e-01
1.089730247800341570e-03	1.533209720075195404e-01
1.101705305468477034e-03	1.540057813129478426e-01
1.113680363136612499e-03	1.546905906183761448e-01
1.125655420804747963e-03	1.553753999238044470e-01
1.137630478472883861e-03	1.560602092292327769e-01
1.149605536141020193e-03	1.567450185346611069e-01
1.161580593809155657e-03	1.574298278400894091e-01
1.173555651477290688e-03	1.581146371455177113e-01
1.185530709145426152e-03	1.587994464509460135e-01
1.197505766813562484e-03	1.594842557563743435e-01
1.209480824481697948e-03	1.601690650618026457e-01
1.221455882149833846e-03	1.608538743672309757e-01
1.233430939817969311e-03	1.615386836726592779e-01
1.245405997486104775e-03	1.622234929780875801e-01
1.257381055154240240e-03	1.629083022835158823e-01
1.269356112822376138e-03	1.635931115889442122e-01
1.281331170490511602e-03	1.642779208943725144e-01
1.293306228158647500e-03	1.649627301998008444e-01
1.305281285826782964e-03	1.656475395052291466e-01
1.317256343494918429e-03	1.663323488106574488e-01
1.329231401163053893e-03	1.670171581160857510e-01
1.341206458831189791e-03	1.677019674215140810e-01
1.353181516499325689e-03	1.683867767269424109e-01
1.365156574167461154e-03	1.690715860323707131e-01
1.377131631835596618e-03	1.697563953377990154e-01
1.389106689503732082e-03	1.704412046432273176e-01
1.401081747171867547e-03	1.711260139486556198e-01
1.413056804840003445e-03	1.718108232540839497e-01
1.425031862508139343e-03	1.724956325595122797e-01
1.437006920176274807e-03	1.731804418649405819e-01
1.448981977844410272e-03	1.738652511703688841e-01
