D	q
0.000000000000000000e+00	4.962436092491400580e-02
5.246230958073504376e-06	5.006928204817939765e-02
1.049246191614700875e-05	5.051420317144478950e-02
1.573869287422051313e-05	5.095912429471018135e-02
2.098492383229412592e-05	5.140404541797558013e-02
2.623115479036763030e-05	5.184896654124097198e-02
3.147738574844113468e-05	5.229388766450636383e-02
3.672361670651463905e-05	5.273880878777175568e-02
4.196984766458825185e-05	5.318372991103714753e-02
4.721607862266175622e-05	5.362865103430254632e-02
5.246230958073536902e-05	5.407357215756793817e-02
5.770854053880887340e-05	5.451849328083333002e-02
6.295477149688237777e-05	5.496341440409872187e-02
6.820100245495588215e-05	5.540833552736411372e-02
7.344723341302938652e-05	5.585325665062950556e-02
7.869346437110299932e-05	5.629817777389490435e-02
8.393969532917650370e-05	5.674309889716029620e-02
8.918592628725000807e-05	5.718802002042568805e-02
9.443215724532351245e-05	5.763294114369107990e-02
9.967838820339701682e-05	5.807786226695647175e-02
1.049246191614705212e-04	5.852278339022186360e-02
1.101708501195441340e-04	5.896770451348726239e-02
1.154170810776176384e-04	5.941262563675265423e-02
1.206633120356911427e-04	5.985754676001804608e-02
1.259095429937647555e-04	6.030246788328343793e-02
1.311557739518382599e-04	6.074738900654882978e-02
1.364020049099118727e-04	6.119231012981422857e-02
1.416482358679853771e-04	6.163723125307962042e-02
1.468944668260588815e-04	6.208215237634501227e-02
1.521406977841322774e-04	6.252707349961039718e-02
1.573869287422058902e-04	6.297199462287579597e-02
1.626331597002795030e-04	6.341691574614119475e-02
1.678793906583528990e-04	6.386183686940657966e-02
1.731256216164265118e-04	6.430675799267197845e-02
1.783718525744999077e-04	6.475167911593736336e-02
1.836180835325735205e-04	6.519660023920276215e-02
1.888643144906470249e-04	6.564152136246814706e-02
1.941105454487206377e-04	6.608644248573354585e-02
1.993567764067941421e-04	6.653136360899894464e-02
2.046030073648676464e-04	6.697628473226432955e-02
2.098492383229412592e-04	6.742120585552972833e-02
2.150954692810148720e-04	6.786612697879512712e-02
2.203417002390882680e-04	6.831104810206051203e-02
2.255879311971618808e-04	6.875596922532591082e-02
2.308341621552352767e-04	6.920089034859129573e-02
2.360803931133088895e-04	6.964581147185669452e-02
2.413266240713822855e-04	7.009073259512207943e-02
2.465728550294558983e-04	7.053565371838747822e-02
2.518190859875295111e-04	7.098057484165287701e-02
2.570653169456029070e-04	7.142549596491826192e-02
2.623115479036765198e-04	7.187041708818366070e-02
2.675577788617501326e-04	7.231533821144905949e-02
2.728040098198236370e-04	7.276025933471444440e-02
2.780502407778970330e-04	7.320518045797982931e-02
2.832964717359706458e-04	7.365010158124522810e-02
2.885427026940442586e-04	7.409502270451062689e-02
2.937889336521176545e-04	7.453994382777601180e-02
2.990351646101912673e-04	7.498486495104141059e-02
3.042813955682648801e-04	7.542978607430680937e-02
3.095276265263382761e-04	7.587470719757219428e-02
3.147738574844118889e-04	7.631962832083759307e-02
3.200200884424852848e-04	7.676454944410297798e-02
3.252663194005588976e-04	7.720947056736837677e-02
3.305125503586324020e-04	7.765439169063376168e-02
3.357587813167059064e-04	7.809931281389916047e-02
3.410050122747795192e-04	7.854423393716455926e-02
3.462512432328530235e-04	7.898915506042994417e-02
3.514974741909265279e-04	7.943407618369534295e-02
3.567437051490000323e-04	7.987899730696072786e-02
3.619899361070736451e-04	8.032391843022612665e-02
3.672361670651470410e-04	8.076883955349151156e-02
3.724823980232206538e-04	8.121376067675691035e-02
3.777286289812942666e-04	8.165868180002230914e-02
3.829748599393676626e-04	8.210360292328769405e-02
3.882210908974412754e-04	8.254852404655309284e-02
3.934673218555148882e-04	8.299344516981849162e-02
3.987135528135882841e-04	8.343836629308387653e-02
4.039597837716616801e-04	8.388328741634926144e-02
4.092060147297352929e-04	8.432820853961466023e-02
4.144522456878089057e-04	8.477312966288005902e-02
4.196984766458823016e-04	8.521805078614544393e-02
4.249447076039559144e-04	8.566297190941084272e-02
4.301909385620295272e-04	8.610789303267624151e-02
4.354371695201029232e-04	8.655281415594162642e-02
4.406834004781765360e-04	8.699773527920701133e-02
4.459296314362501488e-04	8.744265640247242399e-02
4.511758623943235447e-04	8.788757752573780890e-02
4.564220933523971575e-04	8.833249864900319381e-02
4.616683243104707703e-04	8.877741977226859260e-02
4.669145552685441663e-04	8.922234089553399139e-02
4.721607862266177791e-04	8.966726201879937630e-02
4.774070171846913919e-04	9.011218314206477509e-02
4.826532481427650047e-04	9.055710426533017388e-02
4.878994791008384006e-04	9.100202538859555879e-02
4.931457100589117966e-04	9.144694651186094370e-02
4.983919410169854094e-04	9.189186763512634248e-02
5.036381719750590222e-04	9.233678875839174127e-02
5.088844029331324181e-04	9.278170988165712618e-02
5.141306338912060309e-04	9.322663100492252497e-02
5.193768648492796437e-04	9.367155212818792376e-02
5.246230958073530397e-04	9.411647325145330867e-02
5.298693267654264356e-04	9.456139437471869358e-02
5.351155577235002653e-04	9.500631549798410624e-02
5.403617886815736612e-04	9.545123662124949115e-02
5.456080196396470572e-04	9.589615774451487606e-02
5.508542505977206700e-04	9.634107886778027485e-02
5.561004815557942828e-04	9.678599999104567364e-02
5.613467125138676787e-04	9.723092111431105855e-02
5.665929434719412915e-04	9.767584223757645734e-02
5.718391744300149043e-04	9.812076336084185613e-02
5.770854053880883003e-04	9.856568448410724104e-02
5.823316363461616962e-04	9.901060560737262595e-02
5.875778673042353090e-04	9.945552673063802473e-02
5.928240982623089218e-04	9.990044785390342352e-02
5.980703292203825346e-04	1.003453689771688084e-01
6.033165601784559306e-04	1.007902901004342072e-01
6.085627911365295434e-04	1.012352112236996060e-01
6.138090220946031562e-04	1.016801323469649909e-01
6.190552530526765521e-04	1.021250534702303758e-01
6.243014840107501649e-04	1.025699745934957746e-01
6.295477149688237777e-04	1.030148957167611734e-01
6.347939459268971737e-04	1.034598168400265583e-01
6.400401768849707865e-04	1.039047379632919571e-01
6.452864078430443993e-04	1.043496590865573559e-01
6.505326388011177952e-04	1.047945802098227408e-01
6.557788697591911912e-04	1.052395013330881257e-01
6.610251007172650208e-04	1.056844224563535384e-01
6.662713316753384168e-04	1.061293435796189233e-01
6.715175626334118127e-04	1.065742647028843082e-01
6.767637935914854255e-04	1.070191858261497070e-01
6.820100245495590383e-04	1.074641069494151058e-01
6.872562555076324343e-04	1.079090280726804907e-01
6.925024864657060471e-04	1.083539491959458895e-01
6.977487174237796599e-04	1.087988703192112883e-01
7.029949483818530558e-04	1.092437914424766732e-01
7.082411793399264518e-04	1.096887125657420581e-01
7.134874102980000646e-04	1.101336336890074569e-01
7.187336412560736774e-04	1.105785548122728557e-01
7.239798722141470733e-04	1.110234759355382406e-01
7.292261031722206861e-04	1.114683970588036394e-01
7.344723341302942989e-04	1.119133181820690381e-01
7.397185650883676949e-04	1.123582393053344231e-01
7.449647960464413077e-04	1.128031604285998080e-01
7.502110270045149205e-04	1.132480815518652206e-01
7.554572579625883164e-04	1.136930026751306055e-01
7.607034889206619292e-04	1.141379237983959904e-01
7.659497198787355420e-04	1.145828449216614031e-01
7.711959508368091548e-04	1.150277660449267880e-01
7.764421817948825508e-04	1.154726871681921729e-01
7.816884127529559467e-04	1.159176082914575578e-01
7.869346437110297764e-04	1.163625294147229705e-01
7.921808746691031723e-04	1.168074505379883554e-01
7.974271056271765683e-04	1.172523716612537403e-01
8.026733365852503979e-04	1.176972927845191530e-01
8.079195675433237939e-04	1.181422139077845379e-01
8.131657985013971898e-04	1.185871350310499228e-01
8.184120294594705858e-04	1.190320561543153077e-01
8.236582604175444154e-04	1.194769772775807204e-01
8.289044913756178114e-04	1.199218984008461053e-01
8.341507223336912073e-04	1.203668195241114902e-01
8.393969532917650370e-04	1.208117406473769029e-01
8.446431842498384329e-04	1.212566617706422878e-01
8.498894152079118289e-04	1.217015828939076727e-01
8.551356461659856585e-04	1.221465040171730854e-01
8.603818771240590545e-04	1.225914251404384703e-01
8.656281080821324504e-04	1.230363462637038552e-01
8.708743390402058464e-04	1.234812673869692401e-01
8.761205699982796760e-04	1.239261885102346528e-01
8.813668009563530720e-04	1.243711096335000377e-01
8.866130319144266848e-04	1.248160307567654226e-01
8.918592628725002976e-04	1.252609518800308352e-01
8.971054938305736935e-04	1.257058730032962202e-01
9.023517247886473063e-04	1.261507941265616051e-01
9.075979557467207023e-04	1.265957152498269900e-01
9.128441867047943151e-04	1.270406363730924026e-01
9.180904176628679279e-04	1.274855574963577876e-01
9.233366486209413238e-04	1.279304786196231725e-01
9.285828795790151535e-04	1.283753997428885851e-01
9.338291105370885494e-04	1.288203208661539700e-01
9.390753414951619454e-04	1.292652419894193550e-01
9.443215724532353413e-04	1.297101631126847399e-01
9.495678034113091710e-04	1.301550842359501525e-01
9.548140343693825669e-04	1.306000053592155374e-01
9.600602653274559629e-04	1.310449264824809223e-01
9.653064962855297925e-04	1.314898476057463350e-01
9.705527272436031885e-04	1.319347687290117199e-01
9.757989582016765844e-04	1.323796898522771048e-01
9.810451891597504141e-04	1.328246109755425175e-01
