D	q
0.000000000000000000e+00	8.382036891808951340e-02
2.117580276722857285e-05	8.443597959975632228e-02
4.235160553445714571e-05	8.505159028142313116e-02
6.352740830168528488e-05	8.566720096308992616e-02
8.470321106891385773e-05	8.628281164475673504e-02
1.058790138361428643e-04	8.689842232642354392e-02
1.270548166033714371e-04	8.751403300809035279e-02
1.482306193705995763e-04	8.812964368975714780e-02
1.694064221378281491e-04	8.874525437142395667e-02
1.905822249050567220e-04	8.936086505309076555e-02
2.117580276722852949e-04	8.997647573475757443e-02
2.329338304395138677e-04	9.059208641642438331e-02
2.541096332067420069e-04	9.120769709809117831e-02
2.752854359739705797e-04	9.182330777975798719e-02
2.964612387411991526e-04	9.243891846142479607e-02
3.176370415084277254e-04	9.305452914309160495e-02
3.388128442756558646e-04	9.367013982475839995e-02
3.599886470428848712e-04	9.428575050642520883e-02
3.811644498101134440e-04	9.490136118809201771e-02
4.023402525773420169e-04	9.551697186975882659e-02
4.235160553445701560e-04	9.613258255142562159e-02
4.446918581117987289e-04	9.674819323309243047e-02
4.658676608790273017e-04	9.736380391475923934e-02
4.870434636462558746e-04	9.797941459642604822e-02
5.082192664134844474e-04	9.859502527809285710e-02
5.293950691807125866e-04	9.921063595975965210e-02
5.505708719479411595e-04	9.982624664142646098e-02
5.717466747151697323e-04	1.004418573230932699e-01
5.929224774823987389e-04	1.010574680047600787e-01
6.140982802496273117e-04	1.016730786864268876e-01
6.352740830168554509e-04	1.022886893680936826e-01
6.564498857840840237e-04	1.029043000497604915e-01
6.776256885513125966e-04	1.035199107314273004e-01
6.988014913185407358e-04	1.041355214130940954e-01
7.199772940857693086e-04	1.047511320947609043e-01
7.411530968529978815e-04	1.053667427764277131e-01
7.623288996202264543e-04	1.059823534580945220e-01
7.835047023874550272e-04	1.065979641397613309e-01
8.046805051546831664e-04	1.072135748214281259e-01
8.258563079219121729e-04	1.078291855030949348e-01
8.470321106891407457e-04	1.084447961847617437e-01
8.682079134563693186e-04	1.090604068664285525e-01
8.893837162235978915e-04	1.096760175480953614e-01
9.105595189908260306e-04	1.102916282297621564e-01
9.317353217580546035e-04	1.109072389114289653e-01
9.529111245252831763e-04	1.115228495930957742e-01
9.740869272925113155e-04	1.121384602747625692e-01
9.952627300597398884e-04	1.127540709564293780e-01
1.016438532826968461e-03	1.133696816380961869e-01
1.037614335594197034e-03	1.139852923197629958e-01
1.058790138361425607e-03	1.146009030014298047e-01
1.079965941128654180e-03	1.152165136830965997e-01
1.101141743895882753e-03	1.158321243647634086e-01
1.122317546663111325e-03	1.164477350464302174e-01
1.143493349430339898e-03	1.170633457280970263e-01
1.164669152197568471e-03	1.176789564097638352e-01
1.185844954964796177e-03	1.182945670914306302e-01
1.207020757732025617e-03	1.189101777730974391e-01
1.228196560499254190e-03	1.195257884547642480e-01
1.249372363266481895e-03	1.201413991364310430e-01
1.270548166033711335e-03	1.207570098180978657e-01
1.291723968800939041e-03	1.213726204997646607e-01
1.312899771568167614e-03	1.219882311814314696e-01
1.334075574335396187e-03	1.226038418630982785e-01
1.355251377102624760e-03	1.232194525447650735e-01
1.376427179869853332e-03	1.238350632264318962e-01
1.397602982637081905e-03	1.244506739080986912e-01
1.418778785404309611e-03	1.250662845897654862e-01
1.439954588171539051e-03	1.256818952714323090e-01
1.461130390938767624e-03	1.262975059530991040e-01
1.482306193705995329e-03	1.269131166347658990e-01
1.503481996473224769e-03	1.275287273164327218e-01
1.524657799240452475e-03	1.281443379980995168e-01
1.545833602007681915e-03	1.287599486797663395e-01
1.567009404774909621e-03	1.293755593614331345e-01
1.588185207542139061e-03	1.299911700430999573e-01
1.609361010309366766e-03	1.306067807247667523e-01
1.630536813076595339e-03	1.312223914064335473e-01
1.651712615843824779e-03	1.318380020881003700e-01
1.672888418611052485e-03	1.324536127697671650e-01
1.694064221378281058e-03	1.330692234514339600e-01
1.715240024145509631e-03	1.336848341331007828e-01
1.736415826912738204e-03	1.343004448147675778e-01
1.757591629679965909e-03	1.349160554964343728e-01
1.778767432447195349e-03	1.355316661781011955e-01
1.799943235214423055e-03	1.361472768597679905e-01
1.821119037981652495e-03	1.367628875414348133e-01
1.842294840748880200e-03	1.373784982231016083e-01
1.863470643516109641e-03	1.379941089047684311e-01
1.884646446283337346e-03	1.386097195864352261e-01
1.905822249050565919e-03	1.392253302681020211e-01
1.926998051817795359e-03	1.398409409497688438e-01
1.948173854585023065e-03	1.404565516314356388e-01
1.969349657352251638e-03	1.410721623131024338e-01
1.990525460119480210e-03	1.416877729947692566e-01
2.011701262886708783e-03	1.423033836764360516e-01
2.032877065653936489e-03	1.429189943581028466e-01
2.054052868421165929e-03	1.435346050397696693e-01
2.075228671188394502e-03	1.441502157214364921e-01
2.096404473955623075e-03	1.447658264031032871e-01
2.117580276722850780e-03	1.453814370847700821e-01
2.138756079490080220e-03	1.459970477664369048e-01
2.159931882257308793e-03	1.466126584481036998e-01
2.181107685024536499e-03	1.472282691297704948e-01
2.202283487791765939e-03	1.478438798114373176e-01
2.223459290558993644e-03	1.484594904931041126e-01
2.244635093326222217e-03	1.490751011747709076e-01
2.265810896093450790e-03	1.496907118564377304e-01
2.286986698860680230e-03	1.503063225381045531e-01
2.308162501627907068e-03	1.509219332197713204e-01
2.329338304395136509e-03	1.515375439014381431e-01
2.350514107162365082e-03	1.521531545831049659e-01
2.371689909929593654e-03	1.527687652647717609e-01
2.392865712696821360e-03	1.533843759464385559e-01
2.414041515464050800e-03	1.539999866281053786e-01
2.435217318231279373e-03	1.546155973097721736e-01
2.456393120998507078e-03	1.552312079914389686e-01
2.477568923765736519e-03	1.558468186731057914e-01
2.498744726532964224e-03	1.564624293547725864e-01
2.519920529300192797e-03	1.570780400364393814e-01
2.541096332067421370e-03	1.576936507181062042e-01
2.562272134834650810e-03	1.583092613997730269e-01
2.583447937601877648e-03	1.589248720814397942e-01
2.604623740369107088e-03	1.595404827631066169e-01
2.625799543136336529e-03	1.601560934447734397e-01
2.646975345903564234e-03	1.607717041264402347e-01
2.668151148670792807e-03	1.613873148081070297e-01
2.689326951438021380e-03	1.620029254897738524e-01
2.710502754205249953e-03	1.626185361714406474e-01
2.731678556972477658e-03	1.632341468531074424e-01
2.752854359739707098e-03	1.638497575347742652e-01
2.774030162506934804e-03	1.644653682164410602e-01
2.795205965274163377e-03	1.650809788981078552e-01
2.816381768041391950e-03	1.656965895797746779e-01
2.837557570808621390e-03	1.663122002614415007e-01
2.858733373575848228e-03	1.669278109431082679e-01
2.879909176343077668e-03	1.675434216247750907e-01
2.901084979110307108e-03	1.681590323064419135e-01
2.922260781877534814e-03	1.687746429881087085e-01
2.943436584644763387e-03	1.693902536697755035e-01
2.964612387411991960e-03	1.700058643514423262e-01
2.985788190179220532e-03	1.706214750331091212e-01
3.006963992946448238e-03	1.712370857147759162e-01
3.028139795713677678e-03	1.718526963964427390e-01
3.049315598480905384e-03	1.724683070781095340e-01
3.070491401248133956e-03	1.730839177597763290e-01
3.091667204015362529e-03	1.736995284414431517e-01
3.112843006782591970e-03	1.743151391231099745e-01
3.134018809549818808e-03	1.749307498047767417e-01
3.155194612317048248e-03	1.755463604864435645e-01
3.176370415084277688e-03	1.761619711681103873e-01
3.197546217851505394e-03	1.767775818497771823e-01
3.218722020618733966e-03	1.773931925314439773e-01
3.239897823385962539e-03	1.780088032131108000e-01
3.261073626153191112e-03	1.786244138947775950e-01
3.282249428920418818e-03	1.792400245764443900e-01
3.303425231687648258e-03	1.798556352581112128e-01
3.324601034454875963e-03	1.804712459397780078e-01
3.345776837222104536e-03	1.810868566214448028e-01
3.366952639989333976e-03	1.817024673031116255e-01
3.388128442756562549e-03	1.823180779847784483e-01
3.409304245523791122e-03	1.829336886664452433e-01
3.430480048291018828e-03	1.835492993481120383e-01
3.451655851058248268e-03	1.841649100297788610e-01
3.472831653825475973e-03	1.847805207114456560e-01
3.494007456592704546e-03	1.853961313931124510e-01
3.515183259359933119e-03	1.860117420747792738e-01
3.536359062127161692e-03	1.866273527564460688e-01
3.557534864894389397e-03	1.872429634381128638e-01
3.578710667661618838e-03	1.878585741197796866e-01
3.599886470428846543e-03	1.884741848014464816e-01
3.621062273196075116e-03	1.890897954831132766e-01
3.642238075963304556e-03	1.897054061647800993e-01
3.663413878730533129e-03	1.903210168464469221e-01
3.684589681497761702e-03	1.909366275281137171e-01
3.705765484264989407e-03	1.915522382097805121e-01
3.726941287032218848e-03	1.921678488914473348e-01
3.748117089799446553e-03	1.927834595731141298e-01
3.769292892566675126e-03	1.933990702547809248e-01
3.790468695333903699e-03	1.940146809364477476e-01
3.811644498101132272e-03	1.946302916181145426e-01
3.832820300868359977e-03	1.952459022997813376e-01
3.853996103635589417e-03	1.958615129814481604e-01
3.875171906402818858e-03	1.964771236631149831e-01
3.896347709170045696e-03	1.970927343447817504e-01
3.917523511937274702e-03	1.977083450264485731e-01
3.938699314704504142e-03	1.983239557081153959e-01
3.959875117471731848e-03	1.989395663897821909e-01
3.981050920238959553e-03	1.995551770714489859e-01
4.002226723006188994e-03	2.001707877531158086e-01
4.023402525773416699e-03	2.007863984347826036e-01
4.044578328540646139e-03	2.014020091164493986e-01
4.065754131307875580e-03	2.020176197981162214e-01
4.086929934075103285e-03	2.026332304797830164e-01
4.108105736842330991e-03	2.032488411614498114e-01
4.129281539609560431e-03	2.038644518431166341e-01
4.150457342376789871e-03	2.044800625247834569e-01
4.171633145144015842e-03	2.050956732064502241e-01
4.192808947911245282e-03	2.057112838881170469e-01
4.213984750678474722e-03	2.063268945697838697e-01
4.235160553445702428e-03	2.069425052514506647e-01
4.256336356212930133e-03	2.075581159331174597e-01
4.277512158980159573e-03	2.081737266147842824e-01
4.298687961747387279e-03	2.087893372964510774e-01
4.319863764514616719e-03	2.094049479781178724e-01
4.341039567281846159e-03	2.100205586597846952e-01
4.362215370049073865e-03	2.106361693414515179e-01
4.383391172816301570e-03	2.112517800231182852e-01
4.404566975583531011e-03	2.118673907047851079e-01
4.425742778350760451e-03	2.124830013864519307e-01
4.446918581117986422e-03	2.130986120681186979e-01
4.468094383885215862e-03	2.137142227497855207e-01
4.489270186652445302e-03	2.143298334314523435e-01
4.510445989419673007e-03	2.149454441131191107e-01
4.531621792186900713e-03	2.155610547947859335e-01
4.552797594954130153e-03	2.161766654764527562e-01
4.573973397721359593e-03	2.167922761581195790e-01
4.595149200488587299e-03	2.174078868397863462e-01
4.616325003255816739e-03	2.180234975214531690e-01
4.637500806023044445e-03	2.186391082031199917e-01
4.658676608790272150e-03	2.192547188847867590e-01
4.679852411557501590e-03	2.198703295664535817e-01
4.701028214324731030e-03	2.204859402481204045e-01
4.722204017091957001e-03	2.211015509297871717e-01
4.743379819859186441e-03	2.217171616114539945e-01
4.764555622626415882e-03	2.223327722931208172e-01
4.785731425393643587e-03	2.229483829747875845e-01
4.806907228160871293e-03	2.235639936564544072e-01
4.828083030928100733e-03	2.241796043381212300e-01
4.849258833695330173e-03	2.247952150197880528e-01
4.870434636462557879e-03	2.254108257014548200e-01
4.891610439229787319e-03	2.260264363831216428e-01
4.912786241997015024e-03	2.266420470647884655e-01
4.933962044764242730e-03	2.272576577464552328e-01
4.955137847531472170e-03	2.278732684281220555e-01
4.976313650298701610e-03	2.284888791097888783e-01
4.997489453065929316e-03	2.291044897914556455e-01
5.018665255833157021e-03	2.297201004731224683e-01
5.039841058600386461e-03	2.303357111547892910e-01
5.061016861367614167e-03	2.309513218364560583e-01
5.082192664134843607e-03	2.315669325181228810e-01
