D	q
0.000000000000000000e+00	5.971143815543326211e-02
4.273371999998138750e-06	6.009584942799430646e-02
8.546743999996277499e-06	6.048026070055535774e-02
1.282011599999441625e-05	6.086467197311640209e-02
1.709348799999266342e-05	6.124908324567745338e-02
2.136685999999080217e-05	6.163349451823849773e-02
2.564023199998894092e-05	6.201790579079954902e-02
2.991360399998707967e-05	6.240231706336059336e-02
3.418697599998521842e-05	6.278672833592163771e-02
3.846034799998335717e-05	6.317113960848268206e-02
4.273371999998160434e-05	6.355555088104374029e-02
4.700709199997974309e-05	6.393996215360478463e-02
5.128046399997777342e-05	6.432437342616582898e-02
5.555383599997591217e-05	6.470878469872687333e-02
5.982720799997405092e-05	6.509319597128791768e-02
6.410057999997229809e-05	6.547760724384897590e-02
6.837395199997043684e-05	6.586201851641002025e-02
7.264732399996857558e-05	6.624642978897106460e-02
7.692069599996671433e-05	6.663084106153210895e-02
8.119406799996496150e-05	6.701525233409316717e-02
8.546743999996310025e-05	6.739966360665421152e-02
8.974081199996123900e-05	6.778407487921525587e-02
9.401418399995926933e-05	6.816848615177630022e-02
9.828755599995740808e-05	6.855289742433734457e-02
1.025609279999556553e-04	6.893730869689840279e-02
1.068342999999537940e-04	6.932171996945944714e-02
1.111076719999519328e-04	6.970613124202049149e-02
1.153810439999500715e-04	7.009054251458153584e-02
1.196544159999482103e-04	7.047495378714258019e-02
1.239277879999464574e-04	7.085936505970363841e-02
1.282011599999445962e-04	7.124377633226468276e-02
1.324745319999427349e-04	7.162818760482572711e-02
1.367479039999407653e-04	7.201259887738677146e-02
1.410212759999389040e-04	7.239701014994781580e-02
1.452946479999371512e-04	7.278142142250887403e-02
1.495680199999352899e-04	7.316583269506991838e-02
1.538413919999334287e-04	7.355024396763096273e-02
1.581147639999315674e-04	7.393465524019200708e-02
1.623881359999297062e-04	7.431906651275305142e-02
1.666615079999279533e-04	7.470347778531410965e-02
1.709348799999260921e-04	7.508788905787515400e-02
1.752082519999242308e-04	7.547230033043619835e-02
1.794816239999222612e-04	7.585671160299724269e-02
1.837549959999203999e-04	7.624112287555828704e-02
1.880283679999187555e-04	7.662553414811934527e-02
1.923017399999167858e-04	7.700994542068038962e-02
1.965751119999149246e-04	7.739435669324143396e-02
2.008484839999131718e-04	7.777876796580249219e-02
2.051218559999112021e-04	7.816317923836352266e-02
2.093952279999094493e-04	7.854759051092458089e-02
2.136685999999075880e-04	7.893200178348562523e-02
2.179419719999057268e-04	7.931641305604666958e-02
2.222153439999039739e-04	7.970082432860772781e-02
2.264887159999021127e-04	8.008523560116877216e-02
2.307620879999002514e-04	8.046964687372981651e-02
2.350354599998982818e-04	8.085405814629086085e-02
2.393088319998964205e-04	8.123846941885190520e-02
2.435822039998946677e-04	8.162288069141296343e-02
2.478555759998928064e-04	8.200729196397400778e-02
2.521289479998909452e-04	8.239170323653505212e-02
2.564023199998890839e-04	8.277611450909609647e-02
2.606756919998872227e-04	8.316052578165714082e-02
2.649490639998854698e-04	8.354493705421819905e-02
2.692224359998836086e-04	8.392934832677924339e-02
2.734958079998817473e-04	8.431375959934028774e-02
2.777691799998797777e-04	8.469817087190133209e-02
2.820425519998779164e-04	8.508258214446237644e-02
2.863159239998761636e-04	8.546699341702343466e-02
2.905892959998743023e-04	8.585140468958447901e-02
2.948626679998724411e-04	8.623581596214552336e-02
2.991360399998705798e-04	8.662022723470656771e-02
3.034094119998687186e-04	8.700463850726761206e-02
3.076827839998669658e-04	8.738904977982867028e-02
3.119561559998651045e-04	8.777346105238971463e-02
3.162295279998631348e-04	8.815787232495075898e-02
3.205028999998613820e-04	8.854228359751180333e-02
3.247762719998594123e-04	8.892669487007284768e-02
3.290496439998576595e-04	8.931110614263390590e-02
3.333230159998559067e-04	8.969551741519495025e-02
3.375963879998539370e-04	9.007992868775599460e-02
3.418697599998521842e-04	9.046433996031705282e-02
3.461431319998502145e-04	9.084875123287808329e-02
3.504165039998484617e-04	9.123316250543914152e-02
3.546898759998464920e-04	9.161757377800018587e-02
3.589632479998447392e-04	9.200198505056123022e-02
3.632366199998429863e-04	9.238639632312228844e-02
3.675099919998410167e-04	9.277080759568331891e-02
3.717833639998392638e-04	9.315521886824437714e-02
3.760567359998372942e-04	9.353963014080542149e-02
3.803301079998355413e-04	9.392404141336646584e-02
